n1,n2,Z,"WL,  ̊A","E, keV",A,G,K,QD,,Transition,,,No
2,1,14,6.1858,2.00E+00,2.42E+00,0.00E+00,1.00E+00,0.00E+00,R,232,Y,212,5
2,1,14,6.1988,2.00E+00,3.60E+00,1.37E+00,7.24E-01,9.95E-01,F,111,P,133,6
2,1,14,6.2296,1.99E+00,2.35E+00,1.76E+01,1.18E-01,6.21E+00,C,133,S,111,7
2,1,14,6.2298,1.99E+00,3.14E-05,3.14E+01,8.72E-07,1.37E-04,F,155,P,333,8
2,1,14,6.2325,1.99E+00,5.09E-02,3.14E+01,1.41E-03,2.22E-01,F,155,P,335,9
2,1,14,6.2446,1.99E+00,2.29E+00,1.34E+00,6.31E-01,4.23E+00,C,335,S,313,10
2,1,14,6.2481,1.98E+00,2.28E+00,1.36E+00,6.26E-01,2.56E+00,C,333,S,313,11
2,1,14,6.2497,1.98E+00,2.29E+00,1.34E+00,6.30E-01,8.45E-01,C,331,S,313,12
2,1,14,6.2501,1.98E+00,1.16E+00,4.67E-01,2.30E-01,5.37E-01,F,335,P,333,13
2,1,14,6.2524,1.98E+00,1.53E+00,0.00E+00,3.34E-01,0.00E+00,F,333,P,331,14
2,1,14,6.2529,1.98E+00,3.39E+00,4.67E-01,6.71E-01,1.57E+00,F,335,P,335,15
2,1,14,6.2531,1.98E+00,1.14E+00,0.00E+00,2.49E-01,0.00E+00,F,333,P,333,16
2,1,14,6.2542,1.98E+00,0.00E+00,3.46E-02,0.00E+00,0.00E+00,F,331,P,331,17
2,1,14,6.2549,1.98E+00,4.56E+00,3.46E-02,9.91E-01,3.43E-02,F,331,P,333,18
2,1,14,6.2559,1.98E+00,1.91E+00,0.00E+00,4.16E-01,0.00E+00,F,333,P,335,19
2,1,14,6.2651,1.98E+00,4.55E+00,3.14E+01,1.26E-01,1.98E+01,F,155,P,133,20
2,1,14,6.2857,1.97E+00,3.65E-02,4.67E-01,7.23E-03,1.69E-02,F,335,P,133,21
2,1,14,6.2887,1.97E+00,4.50E-03,0.00E+00,9.83E-04,0.00E+00,F,333,P,133,22
2,1,14,6.2906,1.97E+00,7.86E-03,3.46E-02,1.71E-03,5.91E-05,F,331,P,133,23
2,1,14,6.2965,1.97E+00,3.19E-03,1.36E+00,8.74E-04,3.57E-03,C,333,S,111,24
2,1,14,6.2981,1.97E+00,0.00E+00,1.34E+00,0.00E+00,0.00E+00,C,331,S,111,25
