Wavelength Å,Energy keV,Probability  of radiative decay s−1,Probability of autoionization s−1,Branching ratio ,Satellite intensity factor s−1,Source, Source g,Target, Target g, name
Carbon
1.4164E+01,8.7530E-01,2.52E+11,1.19E+14,2.11E+10,5.03E+11,1s 2s2,2,1s2 2p,4,o

Sodium
1.1069E+01,1.1200E+00,1.66E+12,1.28E+13,9.03E+11,2.30E+12,1s 2p2,2,1s2 2p,2,n
1.1072E+01,1.1200E+00,3.94E+12,1.28E+13,2.15E+12,5.48E+12,1s 2p2,2,1s2 2p,4,m
1.1091E+01,1.1180E+00,1.03E+12,8.30E+13,1.22E+11,4.06E+12,1s 2s 2p,4,1s2 2s,2,s
1.1091E+01,1.1180E+00,1.39E+12,8.08E+13,1.70E+11,2.74E+12,1s 2s 2p,2,1s2 2s,2,t
1.1155E+01,1.1120E+00,1.16E+13,5.23E+12,6.89E+12,1.44E+13,1s 2s 2p,4,1s2 2s,2,q
1.1157E+01,1.1110E+00,1.13E+13,7.45E+12,6.02E+12,8.96E+12,1s 2s 2p,2,1s2 2s,2,r
1.1169E+01,1.1100E+00,2.57E+12,6.19E+11,1.32E+12,3.28E+11,1s 2p2,4,1s2 2p,2,b
1.1173E+01,1.1100E+00,1.62E+13,6.19E+11,8.36E+12,2.07E+12,1s 2p2,4,1s2 2p,4,a
1.1173E+01,1.1100E+00,1.28E+13,3.02E+09,6.77E+12,4.09E+09,1s 2p2,2,1s2 2p,2,d
1.1176E+01,1.1090E+00,6.08E+12,3.02E+09,3.23E+12,1.95E+09,1s 2p2,2,1s2 2p,4,c
1.1196E+01,1.1070E+00,5.83E+12,1.19E+14,4.64E+11,2.22E+13,1s 2p2,4,1s2 2p,2,k
1.1200E+01,1.1070E+00,5.46E+11,1.19E+14,4.34E+10,2.07E+12,1s 2p2,4,1s2 2p,4,l
1.1201E+01,1.1070E+00,6.30E+12,1.20E+14,4.99E+11,3.59E+13,1s 2p2,6,1s2 2p,4,j
1.1281E+01,1.0990E+00,4.12E+07,5.34E+09,4.91E+10,1.05E+08,1s 2p2,4,1s2 2p,2,g
1.1283E+01,1.0990E+00,4.51E+09,8.77E+10,4.89E+11,2.57E+10,1s 2p2,6,1s2 2p,4,e
1.1283E+01,1.0990E+00,1.96E+09,6.19E+07,9.43E+12,1.17E+08,1s 2p2,2,1s2 2p,2,i
1.1284E+01,1.0990E+00,3.02E+09,5.34E+09,3.59E+12,7.67E+09,1s 2p2,4,1s2 2p,4,f
1.1286E+01,1.0990E+00,5.60E+07,6.19E+07,2.69E+11,3.33E+06,1s 2p2,2,1s2 2p,4,h
1.1294E+01,1.0980E+00,2.78E+09,1.87E+09,5.98E+12,4.47E+09,1s 2s 2p,4,1s2 2s,2,u
1.1295E+01,1.0980E+00,1.06E+09,1.58E+08,8.71E+12,2.75E+08,1s 2s 2p,2,1s2 2s,2,v
1.1535E+01,1.0750E+00,2.00E+11,1.22E+14,1.63E+10,3.97E+11,1s 2s2,2,1s2 2p,2,p
1.1539E+01,1.0750E+00,3.80E+11,1.22E+14,3.11E+10,7.57E+11,1s 2s2,2,1s2 2p,4,o

Magnesium
