n1,n2,Z,"WL,  ̊A","E, keV",A,G,K,QD,,Transition,,,No
2,1,11,11.535,1.07E+00,2.00E-02,1.22E+01,1.63E-03,3.97E-02,E,212,P,232,24
2,1,11,11.539,1.07E+00,3.80E-02,1.22E+01,3.11E-03,7.57E-02,E,212,P,234,25
2,1,12,9.1696,1.35E+00,1.97E+00,0.00E+00,1.00E+00,0.00E+00,R,133,Y,111,1
2,1,12,9.2189,1.34E+00,2.34E-01,1.39E+00,1.06E-01,2.94E-01,F,212,P,232,2
2,1,12,9.2223,1.34E+00,5.89E-01,1.39E+00,2.66E-01,7.41E-01,F,212,P,234,3
2,1,12,9.2314,1.34E+00,3.28E-03,0.00E+00,1.00E+00,0.00E+00,R,333,Y,111,4
2,1,12,9.2355,1.34E+00,1.42E-01,8.60E+00,1.63E-02,5.59E-01,C,234,S,212,5
2,1,12,9.236,1.34E+00,2.13E-01,8.30E+00,2.50E-02,4.15E-01,C,232,S,212,6
2,1,12,9.2844,1.34E+00,1.71E+00,4.80E-01,7.81E-01,1.50E+00,K,234,S,212,7
2,1,12,9.2863,1.34E+00,1.64E+00,7.76E-01,6.79E-01,1.05E+00,K,232,S,212,8
2,1,12,9.2947,1.33E+00,3.54E-01,1.07E-01,1.24E-01,5.29E-02,M,234,P,232,9
2,1,12,9.298,1.33E+00,1.88E+00,6.00E-04,6.81E-01,8.18E-04,M,232,P,232,10
2,1,12,9.2982,1.33E+00,2.39E+00,1.07E-01,8.39E-01,3.58E-01,M,234,P,234,11
2,1,12,9.3015,1.33E+00,8.81E-01,6.00E-04,3.19E-01,3.83E-04,M,232,P,234,12
2,1,12,9.3147,1.33E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,T,313,Y,111,13
2,1,12,9.3161,1.33E+00,8.78E-01,1.24E+01,6.58E-02,3.26E+00,F,254,P,232,14
2,1,12,9.3196,1.33E+00,6.29E-02,1.24E+01,4.72E-03,2.34E-01,F,254,P,234,15
2,1,12,9.3206,1.33E+00,9.23E-01,1.25E+01,6.88E-02,5.15E+00,F,256,P,234,16
2,1,12,9.3822,1.32E+00,7.37E-06,1.00E-03,4.26E-03,1.70E-05,M,434,P,232,17
2,1,12,9.3838,1.32E+00,4.97E-04,1.53E-05,9.42E-01,2.88E-05,M,432,P,232,18
2,1,12,9.384,1.32E+00,1.13E-03,1.56E-02,6.75E-02,6.30E-03,M,436,P,234,19
2,1,12,9.3858,1.32E+00,7.24E-04,1.00E-03,4.18E-01,1.67E-03,M,434,P,234,20
2,1,12,9.3874,1.32E+00,1.53E-05,1.53E-05,2.89E-02,8.86E-07,M,432,P,234,21
2,1,12,9.3919,1.32E+00,6.86E-04,3.60E-04,6.56E-01,9.44E-04,K,434,S,212,22
2,1,12,9.3929,1.32E+00,2.62E-04,3.78E-05,8.74E-01,6.61E-05,K,432,S,212,23
2,1,12,9.5762,1.29E+00,2.93E-02,1.24E+01,2.35E-03,5.83E-02,E,212,P,232,24
2,1,12,9.5799,1.29E+00,5.50E-02,1.24E+01,4.40E-03,1.09E-01,E,212,P,234,25
