n1,n2,Z,"WL,  ̊A","E, keV",A,G,K,QD,,Transition,,,No
3,1,7,25.953,4.78E-01,1.39E-02,4.46E-08,7.17E-02,6.39E-09,F',232,P,232,14
3,1,7,25.954,4.78E-01,1.72E-02,2.74E-02,7.78E-02,8.52E-03,F',234,P,234,15
3,1,7,25.955,4.78E-01,1.69E-03,2.46E+00,6.47E-04,6.37E-03,F',254,P,232,16
3,1,7,25.955,4.78E-01,7.28E-03,4.46E-08,3.75E-02,3.34E-09,F',232,P,234,17
3,1,7,25.957,4.78E-01,1.21E-03,2.46E+00,4.62E-04,4.55E-03,F',254,P,234,18
3,1,7,25.957,4.78E-01,2.89E-03,2.44E+00,1.12E-03,1.63E-02,F',256,P,234,19
3,1,7,26.053,4.76E-01,1.69E-05,8.72E-05,1.10E-01,3.86E-05,K',434,S,212,20
3,1,7,26.053,4.76E-01,5.55E-06,3.14E-05,6.79E-02,4.26E-06,K',432,S,212,21
3,1,7,26.066,4.76E-01,2.16E-02,1.19E-01,1.47E-01,3.52E-02,K',232,S,212,22
3,1,7,26.066,4.76E-01,2.16E-02,1.20E-01,1.47E-01,7.04E-02,K',234,S,212,23
3,1,7,26.083,4.75E-01,1.22E-02,1.23E-01,6.05E-02,1.49E-02,M',212,P,232,24
3,1,7,26.085,4.75E-01,2.42E-02,1.23E-01,1.20E-01,2.97E-02,M',212,P,234,25
3,1,7,26.119,4.75E-01,2.84E-02,1.89E+00,1.47E-02,1.11E-01,M',254,P,232,26
3,1,7,26.119,4.75E-01,3.44E-02,1.93E+00,1.74E-02,2.02E-01,M',256,P,234,27
3,1,7,26.121,4.75E-01,5.67E-03,1.89E+00,2.93E-03,2.22E-02,M',254,P,234,28
3,1,7,26.153,4.74E-01,2.24E-03,3.69E-03,6.09E-02,8.99E-04,G',254,P,232,29
3,1,7,26.154,4.74E-01,2.22E-03,9.29E-03,5.39E-02,3.01E-03,G',256,P,234,30
3,1,7,26.155,4.74E-01,4.78E-04,3.69E-03,1.30E-02,1.92E-04,G',254,P,234,31
3,1,7,26.179,4.74E-01,3.03E-06,1.07E-05,1.07E-03,4.57E-08,M',414,P,232,32
3,1,7,26.181,4.74E-01,5.89E-06,1.07E-05,2.07E-03,8.86E-08,M',414,P,234,33
3,1,7,26.239,4.73E-01,1.36E-02,1.56E-05,4.05E-01,1.26E-05,M',232,P,232,34
3,1,7,26.239,4.73E-01,3.44E-03,7.18E-06,1.02E-01,2.94E-06,M',234,P,232,35
3,1,7,26.24,4.73E-01,6.54E-03,1.56E-05,1.95E-01,6.08E-06,M',232,P,234,36
3,1,7,26.24,4.73E-01,1.64E-02,7.18E-06,4.89E-01,1.41E-05,M',234,P,234,37
3,1,7,26.248,4.72E-01,4.48E-05,1.14E-05,9.52E-03,4.35E-07,M',454,P,232,38
3,1,7,26.248,4.72E-01,8.57E-05,3.86E-09,1.87E-02,1.44E-10,M',452,P,232,39
3,1,7,26.25,4.72E-01,1.58E-04,1.14E-05,3.36E-02,1.54E-06,M',454,P,234,40
3,1,7,26.25,4.72E-01,4.45E-05,3.86E-09,9.70E-03,7.50E-11,M',452,P,234,41
3,1,7,26.423,4.69E-01,5.65E-04,1.96E+00,2.84E-04,1.12E-03,E',212,P,232,42
3,1,7,26.425,4.69E-01,1.09E-03,1.96E+00,5.48E-04,2.15E-03,E',212,P,234,43
3,1,7,26.456,4.69E-01,1.47E-03,2.44E-01,5.88E-03,5.75E-03,N',254,P,232,44
3,1,7,26.458,4.69E-01,2.87E-04,2.44E-01,1.15E-03,1.12E-03,N',254,P,234,45
3,1,7,26.458,4.69E-01,1.73E-03,2.44E-01,6.94E-03,1.02E-02,N',256,P,234,46
3,1,7,26.701,4.64E-01,1.05E-03,3.20E+00,3.27E-04,2.09E-03,L',212,P,232,47
3,1,7,26.703,4.64E-01,2.07E-03,3.20E+00,6.46E-04,4.13E-03,L',212,P,234,48
3,1,7,28.793,4.31E-01,1.84E-01,0.00E+00,1.00E+00,0.00E+00,R,133,Y,111,49
3,1,7,29.079,4.26E-01,1.42E-05,0.00E+00,9.99E-01,0.00E+00,R,333,Y,111,50
2,1,7,24.9,4.98E-01,5.28E-02,0.00E+00,1.00E+00,0.00E+00,R',133,Y,111,1
2,1,7,24.961,4.97E-01,4.32E-06,0.00E+00,9.98E-01,0.00E+00,R',333,Y,111,2
2,1,7,28.738,4.31E-01,3.78E-02,4.86E-01,6.27E-02,6.09E-02,F',212,P',232,3
2,1,7,28.738,4.31E-01,7.77E-02,4.86E-01,1.29E-01,1.25E-01,F',212,P',234,4
2,1,7,28.748,4.31E-01,1.64E-02,5.91E-03,9.21E-02,2.18E-03,A',234,D',254,5
2,1,7,28.748,4.31E-01,1.50E-01,5.91E-03,8.38E-01,1.98E-02,A',234,D',256,6
2,1,7,28.748,4.31E-01,1.66E-01,6.03E-03,9.30E-01,1.12E-02,A',232,D',254,7
2,1,7,28.767,4.31E-01,1.73E-02,3.49E-03,6.87E-01,4.80E-03,I',232,S',212,8
2,1,7,28.768,4.31E-01,1.79E-02,3.43E-03,6.93E-01,9.51E-03,I',234,S',212,9
2,1,7,28.793,4.31E-01,1.84E-01,0.00E+00,1.00E+00,0.00E+00,R,133,Y,111,10
2,1,7,28.868,4.29E-01,1.43E-01,6.32E-01,1.80E-01,6.82E-01,A',276,D',254,11
2,1,7,28.868,4.29E-01,1.36E-02,6.32E-01,1.71E-02,6.50E-02,A',276,D',256,12
2,1,7,28.869,4.29E-01,1.57E-01,6.33E-01,1.97E-01,9.99E-01,A',278,D',256,13
2,1,7,28.881,4.29E-01,1.53E-02,7.94E-04,8.25E-02,3.93E-04,A',256,D',254,14
2,1,7,28.881,4.29E-01,1.65E-01,7.94E-04,8.85E-01,4.22E-03,A',256,D',256,15
2,1,7,28.881,4.29E-01,1.62E-01,2.10E-10,8.76E-01,7.36E-10,A',254,D',254,16
2,1,7,28.881,4.29E-01,1.77E-02,2.10E-10,9.58E-02,8.06E-11,A',254,D',256,17
2,1,7,28.9,4.29E-01,1.30E-01,6.56E-01,1.64E-01,2.15E-01,B',232,S',212,18
2,1,7,28.901,4.29E-01,1.31E-01,6.28E-01,1.70E-01,4.28E-01,B',234,S',212,19
2,1,7,28.917,4.29E-01,1.80E-02,2.74E-02,8.13E-02,8.90E-03,F',234,P',232,20
2,1,7,28.918,4.29E-01,1.52E-01,2.74E-02,6.90E-01,7.55E-02,F',234,P',234,21
2,1,7,28.918,4.29E-01,1.15E-01,4.46E-08,5.94E-01,5.29E-08,F',232,P',232,22
2,1,7,28.919,4.29E-01,5.57E-02,4.46E-08,2.87E-01,2.56E-08,F',232,P',234,23
2,1,7,28.921,4.29E-01,1.29E-01,2.46E+00,4.94E-02,4.86E-01,F',254,P',232,24
2,1,7,28.922,4.29E-01,1.43E-01,2.44E+00,5.50E-02,8.07E-01,F',256,P',234,25
2,1,7,29.031,4.27E-01,1.93E-02,2.80E+00,6.82E-03,7.65E-02,J',234,S',212,26
2,1,7,29.079,4.26E-01,1.42E-05,0.00E+00,9.99E-01,0.00E+00,R,333,Y,111,27
2,1,7,29.08,4.26E-01,1.24E-02,1.23E-01,6.18E-02,1.52E-02,M',212,P',232,28
2,1,7,29.081,4.26E-01,2.71E-02,1.23E-01,1.35E-01,3.32E-02,M',212,P',234,29
2,1,7,29.117,4.26E-01,2.16E-02,8.43E-04,8.55E-01,5.77E-03,I',278,D',256,30
2,1,7,29.119,4.26E-01,2.06E-02,6.06E-04,8.02E-01,2.91E-03,I',276,D',254,31
2,1,7,29.12,4.26E-01,1.70E-03,6.06E-04,6.61E-02,2.40E-04,I',276,D',256,32
2,1,7,29.156,4.25E-01,6.53E-03,4.98E-02,7.97E-02,1.59E-02,C',234,S',212,33
2,1,7,29.157,4.25E-01,6.11E-03,4.95E-02,7.52E-02,7.45E-03,C',232,S',212,34
2,1,7,29.167,4.25E-01,2.28E-02,3.69E-03,6.21E-01,9.17E-03,G',254,P',232,35
2,1,7,29.167,4.25E-01,2.67E-02,9.29E-03,6.48E-01,3.61E-02,G',256,P',234,36
2,1,7,29.167,4.25E-01,4.65E-03,3.69E-03,1.27E-01,1.87E-03,G',254,P',234,37
2,1,7,29.176,4.25E-01,5.44E-04,3.24E-06,1.85E-01,3.59E-06,I',256,D',256,38
2,1,7,29.176,4.25E-01,5.58E-04,1.44E-04,1.83E-01,1.06E-04,I',254,D',254,39
2,1,7,29.225,4.24E-01,5.00E-06,1.79E-05,2.08E-01,2.98E-05,I',478,D',256,40
2,1,7,29.225,4.24E-01,6.52E-06,1.15E-05,3.24E-01,2.23E-05,I',476,D',254,41
2,1,7,29.226,4.24E-01,1.17E-06,1.15E-05,5.82E-02,4.01E-06,I',476,D',256,42
2,1,7,29.226,4.24E-01,4.70E-06,3.26E-06,5.22E-01,6.81E-06,I',474,D',254,43
2,1,7,29.226,4.24E-01,6.42E-07,3.26E-06,7.12E-02,9.29E-07,I',474,D',256,44
2,1,7,29.273,4.24E-01,8.19E-03,1.56E-05,2.45E-01,7.61E-06,M',232,P',232,45
2,1,7,29.273,4.24E-01,2.22E-03,7.18E-06,6.61E-02,1.90E-06,M',234,P',232,46
2,1,7,29.274,4.24E-01,3.86E-03,1.56E-05,1.15E-01,3.59E-06,M',232,P',234,47
2,1,7,29.274,4.24E-01,1.02E-02,7.18E-06,3.03E-01,8.69E-06,M',234,P',234,48
2,1,7,29.395,4.22E-01,6.05E-03,4.98E-02,7.39E-02,1.47E-02,C',234,D',256,49
2,1,7,29.395,4.22E-01,6.74E-03,4.95E-02,8.30E-02,8.22E-03,C',232,D',254,50
3,1,8,18.628,6.66E-01,9.53E-02,0.00E+00,1.00E+00,0.00E+00,R',133,Y,111,1
3,1,8,18.67,6.64E-01,1.70E-05,0.00E+00,9.99E-01,0.00E+00,R',333,Y,111,2
3,1,8,18.838,6.58E-01,9.05E-04,3.89E-03,2.84E-03,4.42E-05,A',234,S,212,3
3,1,8,18.838,6.58E-01,9.18E-04,4.04E-03,2.87E-03,2.32E-05,A',232,S,212,4
3,1,8,18.967,6.54E-01,2.61E-03,4.15E-03,5.89E-02,4.89E-04,I',232,S,212,5
3,1,8,18.968,6.54E-01,2.68E-03,4.11E-03,5.82E-02,9.57E-04,I',234,S,212,6
3,1,8,19.104,6.49E-01,5.97E-04,3.01E+00,1.96E-04,2.36E-03,J',234,S,212,7
3,1,8,19.107,6.49E-01,6.19E-04,2.97E+00,2.05E-04,1.22E-03,J',232,S,212,8
3,1,8,19.168,6.47E-01,3.44E-02,2.93E-02,3.95E-01,4.63E-02,C',234,S,212,9
3,1,8,19.168,6.47E-01,3.45E-02,2.82E-02,4.06E-01,2.29E-02,C',232,S,212,10
3,1,8,19.216,6.45E-01,1.05E-05,3.44E-05,8.24E-03,1.13E-06,J',434,S,212,11
3,1,8,19.216,6.45E-01,1.49E-06,1.88E-07,1.24E-03,4.66E-10,J',432,S,212,12
3,1,8,19.308,6.42E-01,7.68E-03,7.05E-02,1.82E-02,5.12E-03,F',234,P,232,13
3,1,8,19.309,6.42E-01,2.55E-02,9.93E-10,7.18E-02,1.43E-10,F',232,P,232,14
3,1,8,19.31,6.42E-01,2.42E-03,2.73E+00,8.09E-04,8.83E-03,F',254,P,232,15
3,1,8,19.31,6.42E-01,3.11E-02,7.05E-02,7.34E-02,2.07E-02,F',234,P,234,16
3,1,8,19.311,6.42E-01,1.37E-02,9.93E-10,3.86E-02,7.66E-11,F',232,P,234,17
3,1,8,19.312,6.42E-01,3.11E-03,2.73E+00,1.04E-03,1.13E-02,F',254,P,234,18
3,1,8,19.312,6.42E-01,5.17E-03,2.73E+00,1.72E-03,2.82E-02,F',256,P,234,19
3,1,8,19.376,6.40E-01,2.34E-04,7.09E-04,2.11E-01,5.99E-04,K',434,S,212,20
3,1,8,19.376,6.40E-01,9.07E-05,2.86E-04,1.83E-01,1.04E-04,K',432,S,212,21
3,1,8,19.381,6.40E-01,4.00E-02,1.26E-01,2.26E-01,5.69E-02,K',232,S,212,22
3,1,8,19.381,6.40E-01,3.99E-02,1.27E-01,2.25E-01,1.14E-01,K',234,S,212,23
3,1,8,19.391,6.39E-01,2.30E-02,1.35E-01,8.23E-02,2.22E-02,M',212,P,232,24
3,1,8,19.393,6.39E-01,4.55E-02,1.35E-01,1.63E-01,4.40E-02,M',212,P,234,25
3,1,8,19.421,6.38E-01,5.33E-02,2.00E+00,2.56E-02,2.05E-01,M',254,P,232,26
3,1,8,19.421,6.38E-01,6.51E-02,2.06E+00,3.05E-02,3.76E-01,M',256,P,234,27
3,1,8,19.423,6.38E-01,1.06E-02,2.00E+00,5.11E-03,4.09E-02,M',254,P,234,28
3,1,8,19.438,6.38E-01,3.98E-03,6.46E-03,5.76E-02,1.49E-03,G',254,P,232,29
3,1,8,19.44,6.38E-01,3.26E-03,2.23E-02,4.01E-02,5.36E-03,G',256,P,234,30
3,1,8,19.44,6.38E-01,8.72E-04,6.46E-03,1.26E-02,3.26E-04,G',254,P,234,31
3,1,8,19.465,6.37E-01,1.24E-05,1.48E-05,2.28E-03,1.35E-07,M',414,P,232,32
3,1,8,19.467,6.37E-01,3.00E-05,1.48E-05,5.48E-03,3.24E-07,M',414,P,234,33
3,1,8,19.502,6.36E-01,2.55E-02,3.54E-05,4.12E-01,2.92E-05,M',232,P,232,34
3,1,8,19.502,6.36E-01,6.51E-03,2.64E-05,1.05E-01,1.11E-05,M',234,P,232,35
3,1,8,19.504,6.36E-01,1.21E-02,3.54E-05,1.95E-01,1.38E-05,M',232,P,234,36
3,1,8,19.504,6.36E-01,3.04E-02,2.64E-05,4.90E-01,5.17E-05,M',234,P,234,37
3,1,8,19.509,6.36E-01,1.26E-04,3.31E-05,1.33E-02,1.76E-06,M',454,P,232,38
3,1,8,19.51,6.36E-01,2.72E-04,2.43E-08,2.96E-02,1.44E-09,M',452,P,232,39
3,1,8,19.512,6.35E-01,4.26E-04,3.31E-05,4.51E-02,5.96E-06,M',454,P,234,40
3,1,8,19.512,6.35E-01,1.38E-04,2.43E-08,1.50E-02,7.32E-10,M',452,P,234,41
3,1,8,19.618,6.32E-01,9.52E-04,2.06E+00,4.54E-04,1.87E-03,E',212,P,232,42
3,1,8,19.62,6.32E-01,1.80E-03,2.06E+00,8.56E-04,3.52E-03,E',212,P,234,43
3,1,8,19.637,6.31E-01,2.84E-03,2.80E-01,9.73E-03,1.09E-02,N',254,P,232,44
3,1,8,19.639,6.31E-01,5.48E-04,2.80E-01,1.88E-03,2.11E-03,N',254,P,234,45
3,1,8,19.639,6.31E-01,3.31E-03,2.80E-01,1.14E-02,1.91E-02,N',256,P,234,46
3,1,8,19.798,6.26E-01,1.85E-03,3.38E+00,5.46E-04,3.70E-03,L',212,P,232,47
3,1,8,19.8,6.26E-01,3.64E-03,3.38E+00,1.07E-03,7.26E-03,L',212,P,234,48
3,1,8,21.605,5.74E-01,3.35E-01,0.00E+00,1.00E+00,0.00E+00,R,133,Y,111,49
3,1,8,21.802,5.69E-01,5.48E-05,0.00E+00,1.00E+00,0.00E+00,R,333,Y,111,50
2,1,8,18.628,6.66E-01,9.53E-02,0.00E+00,1.00E+00,0.00E+00,R',133,Y,111,1
