 <pre>
 ===============================================
  iCONF                 E(RYD)      TE(RYD)   gi
 ===============================================
  3d3(3)          -7.17051E+00  0.00000E+00 28.0
  3d2(1SE) 5g     -8.40478E-01  6.33003E+00 18.0
  3d2(1DE) 7p     -8.40353E-01  6.33016E+00 14.0
  3d2(1DE) 7p     -8.40056E-01  6.33045E+00 10.0
  3d2(3PE) 6f     -8.38113E-01  6.33240E+00 20.0
  3d2(3PE) 6f     -8.32530E-01  6.33798E+00 18.0
  3d2(3PE) 6g     -8.25129E-01  6.34538E+00 28.0
  3d2(3PE) 6g     -8.25079E-01  6.34543E+00 14.0
  3d2(3PE) 6g     -8.23868E-01  6.34664E+00 22.0
  3d2(3PE) 6h     -8.23206E-01  6.34730E+00 18.0
  3d2(1GE) 7s     -8.23206E-01  6.34730E+00 18.0
  3d2(3PE) 6h     -8.20738E-01  6.34977E+00 22.0
  3d2(3PE) 6g     -8.19722E-01  6.35079E+00 18.0
  3d2(3PE) 7p     -8.19616E-01  6.35089E+00  2.0
  3d2(1SE) 6p     -8.19030E-01  6.35148E+00  6.0
  3d2(3PE) 7p     -8.16387E-01  6.35412E+00  4.0
  3d2(3PE) 6f     -8.15154E-01  6.35536E+00 14.0
  3d 4s(3DE) 4p   -8.14756E-01  6.35575E+00  6.0
  3d2(3PE) 7p     -8.12761E-01  6.35775E+00 20.0
  3d2(3PE) 7p     -8.10023E-01  6.36049E+00 12.0
  3d2(3PE) 7p     -8.09473E-01  6.36104E+00 10.0
  3d2(3PE) 7p     -8.00276E-01  6.37023E+00  6.0
  3d2(3FE) 8s     -7.81570E-01  6.38894E+00 28.0
  3d2(3FE) 8s     -7.78893E-01  6.39162E+00 14.0
  3d2(1GE) 6f     -7.65608E-01  6.40490E+00 18.0
  3d2(1GE) 6f     -7.65397E-01  6.40511E+00 22.0
  3d2(1GE) 6f     -7.55843E-01  6.41467E+00 14.0
  3d2(3FE) 7f     -7.53806E-01  6.41670E+00 10.0
  3d2(1GE) 6g     -7.51870E-01  6.41864E+00 22.0
  3d2(1GE) 6g     -7.50591E-01  6.41992E+00 18.0
  3d2(1GE) 6h     -7.49575E-01  6.42093E+00 22.0
  3d2(1GE) 6h     -7.49028E-01  6.42148E+00 18.0
  3d2(1GE) 6g     -7.48537E-01  6.42197E+00 14.0
  3d2(1GE) 6h     -7.47867E-01  6.42264E+00 14.0
  3d2(1GE) 6f     -7.47559E-01  6.42295E+00 10.0
  3d2(3FE) 7f     -7.46841E-01  6.42367E+00 18.0
  3d2(1GE) 6g     -7.46349E-01  6.42416E+00 10.0
  3d2(1GE) 6h     -7.46337E-01  6.42417E+00 10.0
  3d2(3FE) 7f     -7.46208E-01  6.42430E+00 20.0
  3d2(1GE) 6h     -7.44951E-01  6.42556E+00  6.0
  3d2(1GE) 6g     -7.44299E-01  6.42621E+00  6.0
  3d2(1GE) 6g     -7.43189E-01  6.42732E+00  2.0
  3d2(3FE) 7f     -7.42087E-01  6.42842E+00  6.0
  3d2(3FE) 7f     -7.41240E-01  6.42927E+00  2.0
  3d2(1GE) 7p     -7.40960E-01  6.42955E+00 18.0
  3d2(3FE) 7f     -7.40784E-01  6.42973E+00 22.0
  3d2(3FE) 7f     -7.40754E-01  6.42976E+00 12.0
  3d2(3FE) 7f     -7.39691E-01  6.43082E+00  4.0
  3d2(3FE) 7f     -7.39340E-01  6.43117E+00 14.0
  3d2(3FE) 7g     -7.36486E-01  6.43402E+00 22.0
  3d2(1GE) 7p     -7.35910E-01  6.43460E+00 22.0
  3d2(3FE) 7g     -7.35758E-01  6.43475E+00 18.0
  3d2(3FE) 7g     -7.35251E-01  6.43526E+00  6.0
  3d2(3FE) 7g     -7.35136E-01  6.43537E+00 12.0
  3d2(3FE) 7h     -7.35063E-01  6.43545E+00 22.0
  3d2(3FE) 7g     -7.34875E-01  6.43563E+00 28.0
  3d2(3FE) 7h     -7.34709E-01  6.43580E+00 20.0
  3d2(3FE) 7h     -7.34707E-01  6.43580E+00 10.0
  3d2(3FE) 7g     -7.34689E-01  6.43582E+00 20.0
  3d2(3FE) 7g     -7.34594E-01  6.43592E+00 14.0
  3d2(3FE) 7g     -7.34382E-01  6.43613E+00 10.0
  3d2(3FE) 7h     -7.34380E-01  6.43613E+00 18.0
  3d2(3FE) 7h     -7.34158E-01  6.43635E+00 14.0
  3d2(1GE) 7p     -7.31677E-01  6.43883E+00 14.0
  3d2(1GE) 6f     -7.26246E-01  6.44426E+00  6.0
  3d2(3FE) 8p     -7.25768E-01  6.44474E+00 20.0
  3d2(3FE) 8p     -7.24970E-01  6.44554E+00 14.0
  3d2(3FE) 8p     -7.23912E-01  6.44660E+00 10.0
  3d2(3FE) 8p     -7.21567E-01  6.44894E+00 18.0
  3d2(1DE) 7d     -7.17463E-01  6.45305E+00  2.0
  3d2(1DE) 7d     -7.14322E-01  6.45619E+00 14.0
