 <pre>
 ===============================================
  iCONF                 E(RYD)      TE(RYD)   gi
 ===============================================
  3d4(4)          -5.18345E+00  2.56380E-01  9.0
  3d4(4)          -5.07432E+00  3.65510E-01  9.0
  3d4(4)          -5.00937E+00  4.30460E-01  1.0
  3d4(4)          -4.98812E+00  4.51710E-01  5.0
  3d4(4)          -4.91507E+00  5.24760E-01  7.0
  3d4(2)          -4.81350E+00  6.26330E-01  9.0
  3d4(2)          -4.74082E+00  6.99010E-01  9.0
  3d4(2)          -4.49353E+00  9.46300E-01  5.0
  3d4(0)          -4.21480E+00  1.22503E+00  1.0
  3d3(2D3) 7d     -3.56600E-01  5.08323E+00  9.0
  3d3(2D1) 5f     -3.55170E-01  5.08466E+00 11.0
  3d3(2D3) 7d     -3.53193E-01  5.08664E+00  5.0
  3d3(4P3) 8p     -3.53063E-01  5.08677E+00  3.0
  3d3(2D1) 5f     -3.49847E-01  5.08998E+00  3.0
  3d3(4F3) 9d     -3.45170E-01  5.09466E+00  9.0
  3d3(2H3) 7d     -3.44402E-01  5.09543E+00  9.0
  3d3(2G3) 8p     -3.44142E-01  5.09569E+00  9.0
  3d3(2G3) 8p     -3.43255E-01  5.09657E+00 11.0
  3d3(2G3) 8p     -3.42758E-01  5.09707E+00  7.0
  3d3(2D3) 7d     -3.42465E-01  5.09736E+00  7.0
  3d3(2G3) 7f     -3.38717E-01  5.10111E+00  7.0
  3d3(2P3) 8s     -3.38008E-01  5.10182E+00  9.0
  3d3(2D3) 7d     -3.37520E-01  5.10231E+00  1.0
  3d3(2P3) 8s     -3.36337E-01  5.10349E+00  3.0
  3d3(2G3) 7f     -3.35138E-01  5.10469E+00  5.0
  3d3(2G3) 7f     -3.33615E-01  5.10622E+00  9.0
  3d3(2G3) 7f     -3.31080E-01  5.10875E+00 11.0
  3d3(2G3) 7f     -3.30645E-01  5.10918E+00  3.0
  3d2 4s(2GE) 4p  -3.25655E-01  5.11417E+00  7.0
  3d3(2H3) 8s     -3.14462E-01  5.12537E+00 11.0
  3d3(2D3) 8s     -3.14035E-01  5.12579E+00  5.0
  3d3(4F3) 9f     -3.10445E-01  5.12938E+00  3.0
  3d3(2F3) 7p     -3.07402E-01  5.13243E+00  9.0
  3d3(2F3) 7p     -3.05727E-01  5.13410E+00  5.0
  3d3(2F3) 7p     -3.04430E-01  5.13540E+00  7.0
  3d3(2P3) 8p     -2.99248E-01  5.14058E+00  1.0
  3d3(2F3) 6f     -2.96607E-01  5.14322E+00  1.0
  3d3(2P3) 8p     -2.96405E-01  5.14342E+00  3.0
  3d3(2F3) 6f     -2.95767E-01  5.14406E+00  9.0
  3d3(2P3) 8p     -2.95030E-01  5.14480E+00  5.0
  3d3(2P3) 8p     -2.93912E-01  5.14592E+00  3.0
  3d3(2P3) 7f     -2.91080E-01  5.14875E+00  5.0
  3d3(2F3) 6f     -2.90470E-01  5.14936E+00 11.0
  3d3(2F3) 6f     -2.89945E-01  5.14988E+00  3.0
  3d3(2F3) 6f     -2.88633E-01  5.15120E+00  7.0
  3d3(2F3) 6f     -2.87495E-01  5.15233E+00  5.0
