ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""3136.76926""","=""4.86e+05""","=""7.17e-04""",D+,"=""2.45343044""","=""6.40603863""","=""3d6.4s2""","=""a 3H""","=""4""","=""3d7.(2H).4p""","=""u 3G*""","=""4""",9,9,,"=""T6110""","=""L11631""",
"=""3143.36264""","=""3.93e+06""","=""5.82e-03""",C,"=""2.44955978""","=""6.39387714""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 7S""","=""3""",7,7,,"=""T5720""","=""L11631""",
"=""3143.79913""","=""5.65e+06""","=""8.37e-03""",B,"=""2.27860466""","=""6.22237439""","=""3d6.4s2""","=""a 3P2""","=""2""","=""3d7.(2P).4p""","=""w 3P*""","=""2""",5,5,,"=""T5720""","=""L11631""",
"=""3144.15270""","=""1.27e+04""","=""1.46e-05""",C+,"=""0.0000000""","=""3.94332623""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""",9,7,,"=""T5720""","=""L11631""",
"=""3144.90093""","=""6.10e+07""","=""9.04e-02""",B,"=""3.21118938""","=""7.15357742""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""4""","=""3d6.(5D).4s (4D).4d""","=""i 5D""","=""4""",9,9,,"=""T5720""","=""L11631""",
"=""3145.9682""","=""4.65e+06""","=""6.90e-03""",C+,"=""2.99035244""","=""6.9314031""","=""3d6.4s2""","=""b 3G""","=""4""","=""3d6.(1G2).4s.4p.(3P*)""","=""s 3G*""","=""4""",9,9,,"=""T5720""","=""L11631""",
"=""3148.70691""","=""7.59e+06""","=""1.13e-02""",C+,"=""3.01762252""","=""6.95524523""","=""3d6.4s2""","=""b 3G""","=""3""","=""3d6.(3G).4s.4p.(3P*)""","=""1F*""","=""3""",7,7,,"=""T5720""","=""L11631""",
"=""3152.77814""","=""1.37e+04""","=""1.46e-05""",C+,"=""0.05156912""","=""3.98410712""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""",7,5,,"=""T5720""","=""L11631""",
"=""3154.11266""","=""7.91e+06""","=""1.52e-02""",B+,"=""2.44955978""","=""6.38043390""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""4""",7,9,,"=""T5720""","=""L11631""",
"=""3154.22727""","=""2.63e+06""","=""3.92e-03""",B,"=""2.44955978""","=""6.38029108""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""3""",7,7,,"=""T5720""","=""L11631""",
"=""3155.40947""","=""4.64e+06""","=""9.69e-03""",B,"=""2.46883473""","=""6.39809335""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""3""",5,7,,"=""T5720""","=""L11631""",
"=""3157.18723""","=""6.36e+07""","=""9.50e-02""",C+,"=""3.24096914""","=""7.16801526""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""3""","=""3d6.(5D).4s (4D).4d""","=""i 5D""","=""3""",7,7,,"=""T5720""","=""L11631""",
"=""3157.94985""","=""1.26e+07""","=""2.30e-02""",B+,"=""2.42543332""","=""6.35153108""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""5""",9,11,,"=""T5720""","=""L11631""",
"=""3158.05826""","=""1.81e+06""","=""1.62e-03""",C+,"=""2.27860466""","=""6.20456765""","=""3d6.4s2""","=""a 3P2""","=""2""","=""3d7.(2P).4p""","=""w 3P*""","=""1""",5,3,,"=""T5720""","=""L11631""",
"=""3158.79895""","=""1.61e+07""","=""3.37e-02""",C+,"=""2.46883473""","=""6.39387714""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 7S""","=""3""",5,7,,"=""T5720""","=""L11631""",
