Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d5.(4P).4p""","=""3D*""","=""2""",5,"=""""","=""36.92781""","=""""",
"=""3d5.(4D).4p""","=""5P*""","=""1""",3,"=""""","=""36.94514""","=""""",
"=""3d5.(4D).4p""","=""5D*""","=""0""",1,"=""""","=""36.95473""","=""""",
"=""3d5.(4P).4p""","=""3D*""","=""1""",3,"=""""","=""37.02171""","=""""",
"=""3d5.(4D).4p""","=""3D*""","=""3""",7,"=""""","=""37.06788""","=""""",
"=""3d5.(4D).4p""","=""5P*""","=""2""",5,"=""""","=""37.07697""","=""""",
"=""3d5.(4D).4p""","=""5P*""","=""3""",7,"=""""","=""37.22016""","=""""",
"=""3d5.(4D).4p""","=""3D*""","=""2""",5,"=""""","=""37.22313""","=""""",
"=""3d5.(4D).4p""","=""3D*""","=""1""",3,"=""""","=""37.26516""","=""""",
"=""3d5.(4D).4p""","=""3F*""","=""4""",9,"=""""","=""37.30914""","=""""",
"=""3d5.(4D).4p""","=""3F*""","=""3""",7,"=""""","=""37.37748""","=""""",
"=""3d5.(4D).4p""","=""3F*""","=""2""",5,"=""""","=""37.38778""","=""""",
"=""3d5.(4P).4p""","=""3S*""","=""1""",3,"=""""","=""37.59814""","=""""",
"=""3d5.(4D).4p""","=""3P*""","=""0""",1,"=""""","=""37.86316""","=""""",
"=""3d5.(2I).4p""","=""3K*""","=""6""",13,"=""""","=""37.88847""","=""""",
"=""3d5.(4D).4p""","=""3P*""","=""1""",3,"=""""","=""37.91920""","=""""",
"=""3d5.(2I).4p""","=""3K*""","=""7""",15,"=""""","=""37.93876""","=""""",
"=""3d5.(2I).4p""","=""3I*""","=""5""",11,"=""""","=""37.94524""","=""""",
"=""3d5.(4D).4p""","=""3P*""","=""2""",5,"=""""","=""37.98611""","=""""",
"=""3d5.(2D1).4s""","=""3D""","=""3""",7,"=""""","=""38.05856""","=""""",
"=""3d5.(2D1).4s""","=""3D""","=""2""",5,"=""""","=""38.06640""","=""""",
"=""3d5.(2D1).4s""","=""3D""","=""1""",3,"=""""","=""38.07625""","=""""",
"=""3d5.(2I).4p""","=""3I*""","=""6""",13,"=""""","=""38.11273""","=""""",
"=""3d5.(2D3).4p""","=""3F*""","=""2""",5,"=""""","=""38.15374""","=""""",
"=""3d5.(2I).4p""","=""3K*""","=""8""",17,"=""""","=""38.20432""","=""""",
"=""3d5.(2I).4p""","=""3I*""","=""7""",15,"=""""","=""38.22647""","=""""",
"=""3d5.(2D3).4p""","=""3F*""","=""3""",7,"=""""","=""38.26054""","=""""",
"=""3d5.(2I).4p""","=""1H*""","=""5""",11,"=""""","=""38.28690""","=""""",
"=""3d5.(2D3).4p""","=""1D*""","=""2""",5,"=""""","=""38.30385""","=""""",
"=""3d5.(2I).4p""","=""3H*""","=""6""",13,"=""""","=""38.34384""","=""""",
"=""3d5.(2I).4p""","=""1K*""","=""7""",15,"=""""","=""38.40344""","=""""",
"=""3d5.(2I).4p""","=""3H*""","=""5""",11,"=""""","=""38.42516""","=""""",
"=""3d5.(2I).4p""","=""3H*""","=""4""",9,"=""""","=""38.42921""","=""""",
"=""3d5.(2D3).4p""","=""3F*""","=""4""",9,"=""""","=""38.46136""","=""""",
"=""3d5.(2D1).4s""","=""1D""","=""2""",5,"=""""","=""38.61757""","=""""",
"=""3d5.(2D3).4p""","=""3P*""","=""2""",5,"=""""","=""38.67887""","=""""",
"=""3d5.(2F1).4p""","=""1G*""","=""4""",9,"=""""","=""38.68407""","=""""",
"=""3d5.(2D3).4p""","=""3P*""","=""1""",3,"=""""","=""38.71911""","=""""",
"=""3d5.(2F1).4p""","=""3G*""","=""3""",7,"=""""","=""38.74055""","=""""",
"=""3d5.(4F).4p""","=""5G*""","=""2""",5,"=""""","=""38.77959""","=""""",
"=""3d5.(4F).4p""","=""5G*""","=""3""",7,"=""""","=""38.79333""","=""""",
"=""3d5.(2F1).4p""","=""3D*""","=""3""",7,"=""""","=""38.80128""","=""""",
"=""3d5.(4F).4p""","=""5G*""","=""4""",9,"=""""","=""38.84188""","=""""",
"=""3d5.(4F).4p""","=""5G*""","=""5""",11,"=""""","=""38.86476""","=""""",
"=""3d5.(2D3).4p""","=""3P*""","=""0""",1,"=""""","=""38.87867""","=""""",
"=""3d5.(2D3).4p""","=""3D*""","=""1""",3,"=""""","=""38.89122""","=""""",
"=""3d5.(2D3).4p""","=""3D*""","=""2""",5,"=""""","=""38.89229""","=""""",
"=""3d5.(2D3).4p""","=""3D*""","=""3""",7,"=""""","=""38.92114""","=""""",
"=""3d5.(2F1).4p""","=""3F*""","=""4""",9,"=""""","=""38.95683""","=""""",
"=""3d5.(2I).4p""","=""1I*""","=""6""",13,"=""""","=""38.97970""","=""""",
