Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""2s2.2p.5d""","=""3P*""","=""0""",1,"=""""","=""10.727508""","=""""",
"=""2s2.2p.6p""","=""1P""","=""1""",3,"=""""","=""10.775825""","=""""",
"=""2s2.2p.6p""","=""3D""","=""1""",3,"=""""","=""10.781192""","=""""",
"=""2s2.2p.6p""","=""3D""","=""2""",5,"=""""","=""10.782347""","=""""",
"=""2s2.2p.6p""","=""3D""","=""3""",7,"=""""","=""10.786912""","=""""",
"=""2s2.2p.6p""","=""3P""","=""0""",1,"=""""","=""10.796222""","=""""",
"=""2s2.2p.6p""","=""3P""","=""1""",3,"=""""","=""10.7994123""","=""""",
"=""2s2.2p.6p""","=""3P""","=""2""",5,"=""""","=""10.800665""","=""""",
"=""2s2.2p.6p""","=""1D""","=""2""",5,"=""""","=""10.8136879""","=""""",
"=""2s2.2p.6p""","=""1S""","=""0""",1,"=""""","=""10.828910""","=""""",
"=""2s2.2p.6d""","=""1D*""","=""2""",5,"=""""","=""10.865203""","=""""",
"=""2s2.2p.6d""","=""3F*""","=""2""",5,"=""""","=""10.874433""","=""""",
"=""2s2.2p.7s""","=""3P*""","=""0""",1,"=""""","=""10.874826""","=""""",
"=""2s2.2p.6d""","=""3F*""","=""3""",7,"=""""","=""10.875078""","=""""",
"=""2s2.2p.7s""","=""3P*""","=""1""",3,"=""""","=""10.8757182""","=""""",
"=""2s2.2p.6d""","=""3D*""","=""1""",3,"=""""","=""10.877795""","=""""",
"=""2s2.2p.7s""","=""3P*""","=""2""",5,"=""""","=""10.880080""","=""""",
"=""2s2.2p.6d""","=""3F*""","=""4""",9,"=""""","=""10.880931""","=""""",
"=""2s2.2p.(2P*<1/2>).6f""","=""2[5/2]""","=""3""",7,"=""""","=""10.881120""","=""""",
"=""2s2.2p.(2P*<1/2>).6f""","=""2[5/2]""","=""2""",5,"=""""","=""10.881130""","=""""",
"=""2s2.2p.(2P*<1/2>).6f""","=""2[7/2]""","=""4""",9,"=""""","=""10.881243""","=""""",
"=""2s2.2p.(2P*<1/2>).6f""","=""2[7/2]""","=""3""",7,"=""""","=""10.881251""","=""""",
"=""2s2.2p.(2P*<1/2>).6g""","=""2[7/2]*""","=""4""",9,"=""""","=""10.8820881""","=""""",
"=""2s2.2p.(2P*<1/2>).6g""","=""2[7/2]*""","=""3""",7,"=""""","=""10.8820885""","=""""",
"=""2s2.2p.(2P*<1/2>).6g""","=""2[9/2]*""","=""5""",11,"=""""","=""10.88212892""","=""""",
"=""2s2.2p.(2P*<1/2>).6g""","=""2[9/2]*""","=""4""",9,"=""""","=""10.88212892""","=""""",
"=""2s2.2p.(2P*<1/2>).6h""","=""2[9/2]""","=""4""",9,"=""""","=""10.8822615""","=""""",
"=""2s2.2p.(2P*<1/2>).6h""","=""2[9/2]""","=""5""",11,"=""""","=""10.8822616""","=""""",
"=""2s2.2p.(2P*<1/2>).6h""","=""2[11/2]""","=""5""",11,"=""""","=""10.8822625""","=""""",
"=""2s2.2p.(2P*<1/2>).6h""","=""2[11/2]""","=""6""",13,"=""""","=""10.8822625""","=""""",
"=""2s2.2p.6d""","=""3D*""","=""2""",5,"=""""","=""10.882479""","=""""",
"=""2s2.2p.6d""","=""3D*""","=""3""",7,"=""""","=""10.882983""","=""""",
"=""2s2.2p.7s""","=""1P*""","=""1""",3,"=""""","=""10.884529""","=""""",
"=""2s2.2p.6d""","=""1F*""","=""3""",7,"=""""","=""10.886674""","=""""",
"=""2s2.2p.(2P*<3/2>).6f""","=""2[7/2]""","=""3""",7,"=""""","=""10.888287""","=""""",
