Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d5.(4P).4p""","=""u 5P*""","=""2""",5,"=""""","=""5.82325049""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""5""",11,"=""""","=""5.82550252""","=""""",
"=""3d5.(4P).4p""","=""u 5P*""","=""1""",3,"=""""","=""5.82994917""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""x 5G*""","=""2""",5,"=""""","=""5.83314465""","=""""",
"=""3d5.(4G).4p""","=""y 3G*""","=""3""",7,"=""""","=""5.83326016""","=""""",
"=""3d5.(4G).4p""","=""y 3G*""","=""4""",9,"=""""","=""5.83406495""","=""""",
"=""3d5.(4G).4p""","=""y 3G*""","=""5""",11,"=""""","=""5.83411881""","=""""",
"=""3d4.(3P1).4s.4p.(3P*)""","=""z 3S*""","=""1""",3,"=""""","=""5.8382162""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""x 5G*""","=""3""",7,"=""""","=""5.84283485""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""x 5G*""","=""4""",9,"=""""","=""5.8508033""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""x 5G*""","=""6""",13,"=""""","=""5.85480762""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""x 5G*""","=""5""",11,"=""""","=""5.85561994""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""z 3I*""","=""5""",11,"=""""","=""5.89991601""","=""""",
"=""3d4.(3G).4s.4p.(3P*)""","=""x 5H*""","=""3""",7,"=""""","=""5.9042965""","=""""",
"=""3d4.(5D).4s.5p.(3P*)""","=""v 5F*""","=""1""",3,"=""""","=""5.9053267""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""z 3I*""","=""6""",13,"=""""","=""5.90541387""","=""""",
"=""3d4.(5D).4s.5p.(3P*)""","=""v 5F*""","=""2""",5,"=""""","=""5.90557531""","=""""",
"=""3d4.(5D).4s.5p.(3P*)""","=""v 5F*""","=""3""",7,"=""""","=""5.90617125""","=""""",
"=""3d4.(5D).4s.5p.(3P*)""","=""v 5F*""","=""4""",9,"=""""","=""5.90661499""","=""""",
"=""3d4.(5D).4s.5p.(3P*)""","=""v 5F*""","=""5""",11,"=""""","=""5.90722005""","=""""",
"=""3d4.(3G).4s.4p.(3P*)""","=""x 5H*""","=""4""",9,"=""""","=""5.9126191""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""z 3I*""","=""7""",15,"=""""","=""5.91312747""","=""""",
