 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    159 18 18  100   8 3s2 3p510p      -1.37867E-02  1.09090E+00  1.0
    160 18 18  311  14 3s2 3p5 9d      -1.33512E-02  1.09134E+00  9.0
    161 18 18  331  11 3s2 3p5 9d      -1.30429E-02  1.09165E+00 21.0
    162 18 18  131  11 3s2 3p5 9d      -1.27221E-02  1.09197E+00  7.0
    163 18 18  121   7 3s2 3p5 9d      -1.26213E-02  1.09207E+00  5.0
    164 18 18  321   7 3s2 3p5 9d      -1.26213E-02  1.09207E+00 15.0
    165 18 18  311  15 3s2 3p511s      -1.25838E-02  1.09211E+00  9.0
    166 18 18  111  14 3s2 3p511s      -1.24974E-02  1.09219E+00  3.0
    167 18 18  111  15 3s2 3p5 9d      -1.23803E-02  1.09231E+00  3.0
    168 18 18  320  13 3s2 3p5 9f      -1.23595E-02  1.09233E+00 15.0
    169 18 18  120  13 3s2 3p5 9f      -1.23566E-02  1.09233E+00  5.0
    170 18 18  340   9 3s2 3p5 9f      -1.23529E-02  1.09234E+00 27.0
    171 18 18  140   9 3s2 3p5 9f      -1.23522E-02  1.09234E+00  9.0
    172 18 18  331  12 3s2 3p5 9g      -1.23461E-02  1.09234E+00 21.0
    173 18 18  131  12 3s2 3p5 9g      -1.23460E-02  1.09234E+00  7.0
    174 18 18  151   5 3s2 3p5 9g      -1.23457E-02  1.09234E+00 11.0
    175 18 18  351   5 3s2 3p5 9g      -1.23457E-02  1.09234E+00 33.0
    176 18 18  350   4 3s2 3p5 9h      -1.23457E-02  1.09234E+00 33.0
    177 18 18  150   4 3s2 3p5 9h      -1.23457E-02  1.09234E+00 11.0
    178 18 18  340  10 3s2 3p5 9h      -1.23456E-02  1.09234E+00 27.0
    179 18 18  140  10 3s2 3p5 9h      -1.23456E-02  1.09234E+00  9.0
    180 18 18  341   5 3s2 3p5 9g      -1.23450E-02  1.09234E+00 27.0
    181 18 18  141   5 3s2 3p5 9g      -1.23450E-02  1.09234E+00  9.0
    182 18 18  130   6 3s2 3p5 9f      -1.23340E-02  1.09236E+00  7.0
    183 18 18  330   6 3s2 3p5 9f      -1.23340E-02  1.09236E+00 21.0
    184 18 18  300   8 3s2 3p511p      -1.15845E-02  1.09311E+00  3.0
    185 18 18  320  14 3s2 3p511p      -1.14295E-02  1.09326E+00 15.0
    186 18 18  120  14 3s2 3p511p      -1.13710E-02  1.09332E+00  5.0
    187 18 18  310   8 3s2 3p511p      -1.13279E-02  1.09336E+00  9.0
    188 18 18  110   8 3s2 3p511p      -1.13279E-02  1.09336E+00  3.0
    189 18 18  100   9 3s2 3p511p      -1.10393E-02  1.09365E+00  1.0
    190 18 18  311  16 3s2 3p510d      -1.07344E-02  1.09396E+00  9.0
    191 18 18  331  13 3s2 3p510d      -1.05117E-02  1.09418E+00 21.0
    192 18 18  131  13 3s2 3p510d      -1.02768E-02  1.09441E+00  7.0
    193 18 18  121   8 3s2 3p510d      -1.02040E-02  1.09449E+00  5.0
    194 18 18  321   8 3s2 3p510d      -1.02040E-02  1.09449E+00 15.0
    195 18 18  311  17 3s2 3p512s      -1.01729E-02  1.09452E+00  9.0
    196 18 18  111  16 3s2 3p512s      -1.01099E-02  1.09458E+00  3.0
    197 18 18  111  17 3s2 3p510d      -1.00252E-02  1.09466E+00  3.0
    198 18 18  320  15 3s2 3p510f      -1.00104E-02  1.09468E+00 15.0
    199 18 18  120  15 3s2 3p510f      -1.00081E-02  1.09468E+00  5.0
    200 18 18  340  11 3s2 3p510f      -1.00054E-02  1.09468E+00 27.0
    201 18 18  140  11 3s2 3p510f      -1.00049E-02  1.09469E+00  9.0
    202 18 18  331  14 3s2 3p510g      -1.00003E-02  1.09469E+00 21.0
    203 18 18  131  14 3s2 3p510g      -1.00003E-02  1.09469E+00  7.0
 ====================================================================
