 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    144  7  6  131   8 2s2 2p 7g       -8.16018E-02  2.09615E+00  7.0
    145  7  6  111  11 2s2 2p 7d       -8.15712E-02  2.09618E+00  3.0
    146  7  6  120  11 2p4             -7.94931E-02  2.09826E+00  5.0
    147  7  6  311  12 2s2 2p 8s       -7.69554E-02  2.10079E+00  9.0
    148  7  6  111  12 2s2 2p 8s       -7.54094E-02  2.10234E+00  3.0
    149  7  6  110   6 2s2 2p 8p       -7.14506E-02  2.10630E+00  3.0
    150  7  6  320  10 2s2 2p 8p       -7.10294E-02  2.10672E+00 15.0
    151  7  6  300   6 2s2 2p 8p       -7.04197E-02  2.10733E+00  3.0
    152  7  6  310   9 2s2 2p 8p       -6.91733E-02  2.10858E+00  9.0
    153  7  6  120  12 2s2 2p 8p       -6.85950E-02  2.10916E+00  5.0
    154  7  6  311  13 2s2p2(4PE) 3p   -6.79676E-02  2.10978E+00  9.0
    155  7  6  100   7 2s2 2p 8p       -6.69716E-02  2.11078E+00  1.0
    156  7  6  331   9 2s2 2p 8d       -6.44251E-02  2.11333E+00 21.0
    157  7  6  121   7 2s2 2p 8d       -6.41939E-02  2.11356E+00  5.0
    158  7  6  321   8 2s2 2p 8d       -6.33355E-02  2.11441E+00 15.0
    159  7  6  130   5 2s2 2p 8f       -6.28784E-02  2.11487E+00  7.0
    160  7  6  330   5 2s2 2p 8f       -6.28603E-02  2.11489E+00 21.0
    161  7  6  131   9 2s2 2p 8d       -6.27405E-02  2.11501E+00  7.0
    162  7  6  340   7 2s2 2p 8f       -6.26223E-02  2.11513E+00 27.0
    163  7  6  140   7 2s2 2p 8f       -6.25557E-02  2.11519E+00  9.0
    164  7  6  141   4 2s2 2p 8g       -6.25490E-02  2.11520E+00  9.0
    165  7  6  341   4 2s2 2p 8g       -6.25488E-02  2.11520E+00 27.0
    166  7  6  320  11 2s2 2p 8f       -6.25157E-02  2.11523E+00 15.0
    167  7  6  350   3 2s2 2p 8h       -6.25037E-02  2.11525E+00 33.0
    168  7  6  150   3 2s2 2p 8h       -6.25037E-02  2.11525E+00 11.0
    169  7  6  360   3 2s2 2p 8h       -6.25013E-02  2.11525E+00 39.0
    170  7  6  160   3 2s2 2p 8h       -6.25013E-02  2.11525E+00 13.0
    171  7  6  361   2 2s2 2p 8i       -6.25000E-02  2.11525E+00 39.0
    172  7  6  161   2 2s2 2p 8i       -6.25000E-02  2.11525E+00 13.0
    173  7  6  351   5 2s2 2p 8i       -6.24995E-02  2.11525E+00 33.0
    174  7  6  351   6 2s2 2p 8g       -6.24995E-02  2.11525E+00 33.0
    175  7  6  151   6 2s2 2p 8g       -6.24994E-02  2.11525E+00 11.0
    176  7  6  151   5 2s2 2p 8i       -6.24994E-02  2.11525E+00 11.0
