   hvEV     ShapeJV   ShapeJVTD  ShaJVTD10  ShaJVTD10i   KappaD
 1762.444  .2112E-02  .2239E-02  .9912E-04  .1051E-03    .0007
 1762.635  .2037E-02  .2176E-02  .9365E-04  .9920E-04    .0007
 1762.827  .2001E-02  .2116E-02  .8854E-04  .9366E-04    .0007
 1763.019  .1940E-02  .2058E-02  .8375E-04  .8848E-04    .0007
 1763.210  .1908E-02  .2002E-02  .7927E-04  .8363E-04    .0007
 1763.402  .1829E-02  .1948E-02  .7507E-04  .7910E-04    .0007
 1763.594  .1831E-02  .1897E-02  .7113E-04  .7486E-04    .0006
 1763.786  .1766E-02  .1846E-02  .6742E-04  .7089E-04    .0006
 1763.977  .1708E-02  .1798E-02  .6394E-04  .6716E-04    .0006
 1764.169  .1664E-02  .1752E-02  .6067E-04  .6365E-04    .0006
 1764.361  .1615E-02  .1707E-02  .5759E-04  .6037E-04    .0006
 1764.553  .1591E-02  .1663E-02  .5469E-04  .5727E-04    .0006
 1764.745  .1552E-02  .1621E-02  .5196E-04  .5436E-04    .0005
 1764.937  .1506E-02  .1580E-02  .4938E-04  .5163E-04    .0005
 1765.128  .1483E-02  .1541E-02  .4695E-04  .4904E-04    .0005
 1765.320  .1440E-02  .1503E-02  .4465E-04  .4661E-04    .0005
 1765.512  .1371E-02  .1466E-02  .4248E-04  .4432E-04    .0005
 1765.704  .1358E-02  .1430E-02  .4043E-04  .4215E-04    .0005
 1765.896  .1323E-02  .1395E-02  .3849E-04  .4011E-04    .0005
 1766.088  .1308E-02  .1362E-02  .3666E-04  .3818E-04    .0005
 1766.280  .1274E-02  .1329E-02  .3493E-04  .3635E-04    .0004
 1766.472  .1225E-02  .1297E-02  .3329E-04  .3462E-04    .0004
 1766.664  .1209E-02  .1267E-02  .3173E-04  .3299E-04    .0004
 1766.856  .1198E-02  .1237E-02  .3026E-04  .3145E-04    .0004
 1767.049  .1157E-02  .1208E-02  .2887E-04  .2999E-04    .0004
 1767.241  .1147E-02  .1180E-02  .2755E-04  .2860E-04    .0004
 1767.433  .1121E-02  .1153E-02  .2630E-04  .2729E-04    .0004
 1767.625  .1080E-02  .1127E-02  .2511E-04  .2605E-04    .0004
 1767.817  .1055E-02  .1101E-02  .2399E-04  .2487E-04    .0004
 1768.009  .1052E-02  .1077E-02  .2292E-04  .2376E-04    .0004
 1768.202  .1017E-02  .1052E-02  .2191E-04  .2270E-04    .0004
 1768.394  .9929E-03  .1029E-02  .2095E-04  .2170E-04    .0003
 1768.586  .9669E-03  .1007E-02  .2004E-04  .2074E-04    .0003
 1768.778  .9506E-03  .9846E-03  .1917E-04  .1984E-04    .0003
 1768.971  .9099E-03  .9633E-03  .1835E-04  .1899E-04    .0003
 1769.163  .8995E-03  .9426E-03  .1757E-04  .1817E-04    .0003
 1769.355  .8693E-03  .9226E-03  .1683E-04  .1740E-04    .0003
 1769.548  .8568E-03  .9032E-03  .1613E-04  .1667E-04    .0003
 1769.740  .8465E-03  .8843E-03  .1547E-04  .1597E-04    .0003
 1769.933  .8268E-03  .8660E-03  .1483E-04  .1531E-04    .0003
 1770.125  .8127E-03  .8482E-03  .1423E-04  .1468E-04    .0003
 1770.318  .7959E-03  .8310E-03  .1366E-04  .1409E-04    .0003
 1770.510  .7922E-03  .8143E-03  .1311E-04  .1352E-04    .0003
 1770.703  .7789E-03  .7980E-03  .1260E-04  .1298E-04    .0003
 1770.895  .7723E-03  .7823E-03  .1210E-04  .1247E-04    .0003
 1771.088  .7500E-03  .7670E-03  .1163E-04  .1198E-04    .0003
 1771.280  .7320E-03  .7521E-03  .1119E-04  .1151E-04    .0003
 1771.473  .7257E-03  .7377E-03  .1076E-04  .1107E-04    .0002
 1771.665  .7092E-03  .7237E-03  .1036E-04  .1065E-04    .0002
 1771.858  .6915E-03  .7101E-03  .9972E-05  .1025E-04    .0002
 1772.051  .6805E-03  .6969E-03  .9605E-05  .9865E-05    .0002
 1772.243  .6535E-03  .6840E-03  .9254E-05  .9500E-05    .0002
