---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. |           Configurations            |     Terms    |         Observed   |           |           Ritz     |           |          |        Ei           Ek        |  gi   gk  |    Aki     |    fik    | Acc. |Type|        TP  |    Line  |
  No.  |                                     |              |        Wavelength/ |   Uncert. |        Wavelength/ |   Uncert. |   Unit   |       (eV)         (eV)       |           |   (s^-1)   |           |      |    |       Ref. |    Ref.  |
       |                                     |              |        Wavenumber  |           |        Wavenumber  |           |          |                               |           |            |           |      |    |            |          |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    18 |                                     |   3D* - 3P   |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         133.8240   |  0.0020   |         133.823978 |  0.000022 | nm (vac) |  19.4692154   -   28.7339376  |   3 - 1   |            |           |      |    |            |   L9366  |
       |                                     |              |         133.8620   |  0.0020   |         133.860195 |  0.000011 | nm (vac) |  19.4559174   -   28.71813306 |   5 - 3   |            |           |      |    |            |   L9366  |
       |                                     |              |         134.0520   |  0.0020   |         134.052656 |  0.000022 | nm (vac) |  19.4692154   -   28.71813306 |   3 - 3   |            |           |      |    |            |   L9366  |
       |                                     |              |         134.3710   |  0.0020   |         134.373187 |  0.000011 | nm (vac) |  19.4559174   -   28.68277299 |   5 - 5   |            |           |      |    |            |   L9366  |
       |                                     |              |         134.5680   |  0.0020   |         134.567128 |  0.000022 | nm (vac) |  19.4692154   -   28.68277299 |   3 - 5   |            |           |      |    |            |   L9366  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    19 |                                     |   3D* - 1D   |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         126.5250   |  0.0020   |         126.526517 |  0.000019 | nm (vac) |  19.4692154   -   29.26828372 |   3 - 5   |            |           |      |    |            |   L9366  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    20 | 3s2.3p3.(4S*).3d - 3s2.3p3.(2P*).4p |   3D* - 3D   |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         119.9370   |  0.0020   |         119.937364 |  0.000005 | nm (vac) |  19.4550447   -   29.79245706 |   7 - 7   |            |           |      |    |            |   L9366  |
       |                                     |              |         119.9950   |  0.0020   |         119.996310 |  0.000010 | nm (vac) |  19.4559174   -   29.7882517  |   5 - 5   |            |           |      |    |            |   L9366  |
       |                                     |              |         120.1490   |  0.0020   |         120.149803 |  0.000019 | nm (vac) |  19.4559174   -   29.7750520  |   5 - 3   |            |           |      |    |            |   L9366  |
       |                                     |              |         120.1490   |  0.0020   |         120.150947 |  0.000018 | nm (vac) |  19.4692154   -   29.7882517  |   3 - 5   |            |           |      |    |            |   L9366  |
       |                                     |              |         120.3030   |  0.0020   |         120.304836 |  0.000025 | nm (vac) |  19.4692154   -   29.7750520  |   3 - 3   |            |           |      |    |            |   L9366  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    21 |                                     |   3D* - 3P   |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         115.7470   |  0.0020   |         115.746119 |  0.000016 | nm (vac) |  19.4692154   -   30.18095237 |   3 - 5   |            |           |      |    |            |   L9366  |
       |                                     |              |         115.9770   |  0.0020   |         115.976310 |  0.000011 | nm (vac) |  19.4559174   -   30.1463937  |   5 - 3   |            |           |      |    |            |   L9366  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    22 | 3s2.3p3.(2D*).3d - 3s2.3p3.(2D*).4p |   1S* - 1P   |         161.77766  |  0.00010  |         161.77766  |  0.00011  | nm (vac) |  20.066834    -   27.7306976  |   1 - 3   |            |           |      |    |            |   L8114  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    23 | 3s2.3p3.(2D*).3d - 3s2.3p3.(2P*).4p |   1S* - 1P   |         125.0630   |  0.0020   |         125.06687  |  0.00007  | nm (vac) |  20.066834    -   29.9802663  |   1 - 3   |            |           |      |    |            |   L9366  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    24 | 3s2.3p3.(2D*).3d - 3s2.3p3.(2D*).4p |   3F* - 3D   |                    |           |         161.03679  |           | nm (vac) |  20.230753    -   27.92987570 |  21 - 15  |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         159.6210   |  0.0020   |         159.62499  |  0.00010  | nm (vac) |  20.179331    -   27.94654815 |   5 - 7   |            |           |      |    |            |   L9366  |
       |                                     |              |         160.2570   |  0.0020   |         160.25818  |  0.00010  | nm (vac) |  20.179331    -   27.91585952 |   5 - 3   |            |           |      |    |            |   L9366  |
       |                                     |              |         160.2790   |  0.0020   |         160.27715  |  0.00010  | nm (vac) |  20.179331    -   27.91494398 |   5 - 5   |            |           |      |    |            |   L9366  |
       |                                     |              |         160.4410   |  0.0020   |         160.44168  |  0.00008  | nm (vac) |  20.218868    -   27.94654815 |   7 - 7   |            |           |      |    |            |   L9366  |
       |                                     |              |         161.10049  |  0.00010  |         161.10054  |  0.00008  | nm (vac) |  20.218868    -   27.91494398 |   7 - 5   |            |           |      |    |            |   L8114  |
       |                                     |              |         161.47997  |  0.00010  |         161.48019  |  0.00013  | nm (vac) |  20.268566    -   27.94654815 |   9 - 7   |            |           |      |    |            |   L8114  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    25 |                                     |   3F* - 3F   |                    |           |         157.83283  |           | nm (vac) |  20.230753    -   28.08616569 |  21 - 21  |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         156.8690   |  0.0020   |         156.87042  |  0.00010  | nm (vac) |  20.179331    -   28.08293673 |   5 - 7   |            |           |      |    |            |   L9366  |
       |                                     |              |         157.23340  |  0.00010  |         157.23338  |  0.00010  | nm (vac) |  20.179331    -   28.06469227 |   5 - 5   |            |           |      |    |            |   L8114  |
       |                                     |              |         157.3050   |  0.0020   |         157.30565  |  0.00007  | nm (vac) |  20.218868    -   28.10060677 |   7 - 9   |            |           |      |    |            |   L9366  |
       |                                     |              |         157.65915  |  0.00010  |         157.65910  |  0.00007  | nm (vac) |  20.218868    -   28.08293673 |   7 - 7   |            |           |      |    |            |   L8114  |
       |                                     |              |         158.0260   |  0.0020   |         158.02572  |  0.00007  | nm (vac) |  20.218868    -   28.06469227 |   7 - 5   |            |           |      |    |            |   L9366  |
       |                                     |              |         158.30377  |  0.00010  |         158.30382  |  0.00013  | nm (vac) |  20.268566    -   28.10060677 |   9 - 9   |            |           |      |    |            |   L8114  |
       |                                     |              |         158.66206  |  0.00010  |         158.66178  |  0.00013  | nm (vac) |  20.268566    -   28.08293673 |   9 - 7   |            |           |      |    |            |   L8114  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    26 | 3s2.3p3.(2D*).3d - 3s2.3p3.(2P*).4p |   3F* - 3D   |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         129.0310   |  0.0020   |         129.03031  |  0.00007  | nm (vac) |  20.179331    -   29.7882517  |   5 - 5   |            |           |      |    |            |   L9366  |
       |                                     |              |         129.2070   |  0.0020   |         129.20780  |  0.00007  | nm (vac) |  20.179331    -   29.7750520  |   5 - 3   |            |           |      |    |            |   L9366  |
       |                                     |              |         129.5060   |  0.0020   |         129.50650  |  0.00005  | nm (vac) |  20.218868    -   29.79245706 |   7 - 7   |            |           |      |    |            |   L9366  |
       |                                     |              |         129.5630   |  0.0020   |         129.56341  |  0.00005  | nm (vac) |  20.218868    -   29.7882517  |   7 - 5   |            |           |      |    |            |   L9366  |
       |                                     |              |         130.1820   |  0.0020   |         130.18229  |  0.00008  | nm (vac) |  20.268566    -   29.79245706 |   9 - 7   |            |           |      |    |            |   L9366  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    27 | 3s2.3p3.(2D*).3d - 3s2.3p3.(2D*).4p |   3G* - 3F   |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         183.4530   |  0.0020   |         183.45221  |  0.00007  | nm (vac) |  21.3422147   -   28.10060677 |   9 - 9   |            |           |      |    |            |   L9366  |
       |                                     |              |         183.63722  |  0.00005  |         183.63722  |  0.00005  | nm (vac) |  21.3490235   -   28.10060677 |  11 - 9   |            |           |      |    |            |  L11520  |
       |                                     |              |         183.8090   |  0.0020   |         183.80984  |  0.00014  | nm (vac) |  21.337694    -   28.08293673 |   7 - 7   |            |           |      |    |            |   L9366  |
       |                                     |              |         183.93310  |  0.00008  |         183.93311  |  0.00007  | nm (vac) |  21.3422147   -   28.08293673 |   9 - 7   |            |           |      |    |            |  L11520  |
       |                                     |              |         184.30837  |  0.00012  |         184.30836  |  0.00014  | nm (vac) |  21.337694    -   28.06469227 |   7 - 5   |            |           |      |    |            |  L11520  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    28 |                                     |   3G* - 1F   |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         181.4630   |  0.0020   |         181.46317  |  0.00007  | nm (vac) |  21.3422147   -   28.17468645 |   9 - 7   |            |           |      |    |            |   L9366  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    29 | 3s2.3p3.(4S*).4s - 3s2.3p3.(4S*).4p |   5S* - 5P   |                    |           |         329.62271  |           | nm (air) |  21.62017815  -   25.3804926  |   5 - 15  | 2.0e+08    | 9.8e-01   |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         328.58413  |  0.00002  |         328.58413  |  0.00003  | nm (air) |  21.62017815  -   25.39237770 |   5 - 7   | 2.0e+08    | 4.5e-01   | D    |    | T1619CA,LS |  L11520  |
       |                                     |              |         330.18546  |  0.00001  |         330.18546  |  0.00003  | nm (air) |  21.62017815  -   25.37408393 |   5 - 5   | 2.0e+08    | 3.3e-01   | D    |    | T1619CA,LS |  L11520  |
       |                                     |              |         331.12423  |  0.00003  |         331.12423  |  0.00004  | nm (air) |  21.62017815  -   25.3634416  |   5 - 3   | 2.0e+08    | 2.0e-01   | D    |    | T1619CA,LS |  L11520  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    30 | 3s2.3p3.(2D*).3d - 3s2.3p3.(2D*).4p |   1G* - 1F   |         193.87891  |  0.00003  |         193.87891  |  0.00003  | nm (vac) |  21.7797569   -   28.17468645 |   9 - 7   |            |           |      |    |            |  L11520  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    31 | 3s2.3p3.(2P*).3d - 3s2.3p3.(2D*).4p |   1D* - 1P   |         226.51445  |  0.00001  |         226.51445  |  0.00005  | nm (air) |  22.2588235   -   27.7306976  |   5 - 3   |            |           |      |    |            |  L11520  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    32 |                                     |   1D* - 1D   |         176.8830   |  0.0020   |         176.881236 |  0.000023 | nm (vac) |  22.2588235   -   29.26828372 |   5 - 5   |            |           |      |    |            |   L9366  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
