---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. |             Configurations              |      Terms     |           Observed   |           |             Ritz     |            |          |         Ei           Ek         |  gi   gk  |     Aki     |     fik     | Acc. |Type|    TP  |    Line  |
  No.  |                                         |                |          Wavelength/ |   Uncert. |          Wavelength/ |    Uncert. |   Unit   |        (eV)         (eV)        |           |   (s^-1)    |             |      |    |   Ref. |    Ref.  |
       |                                         |                |          Wavenumber  |           |          Wavenumber  |            |          |                                 |           |             |             |      |    |        |          |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       |                                         |                |          155.9072    |  0.0003   |          155.9071042 |  0.0000015 | nm (vac) |  16.42557623   -   24.37801682  |   6 - 8   |             |             |      |    |        |  L16202  |
       |                                         |                |          156.2441    |  0.0003   |          156.2442072 |  0.0000022 | nm (vac) |  16.44411446   -   24.37939735  |   4 - 6   |             |             |      |    |        |  L16202  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
    28 |    3s2.3p4.(3P).3d - 3s2.3p4.(3P<2>).5f |    4D  - 2[4]* |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          137.6956    |  0.0003   |          137.6959719 |  0.0000009 | nm (vac) |  16.40650186   -   25.41070124  |   8 - 8   |             |             |      |    |        |  L16202  |
       |                                         |                |          137.7211    |  0.0003   |          137.7211556 |  0.0000009 | nm (vac) |  16.40650186   -   25.40905473  |   8 - 10  |             |             |      |    |        |  L16202  |
       |                                         |                |          137.9884    |  0.0003   |          137.9882844 |  0.0000010 | nm (vac) |  16.42557623   -   25.41070124  |   6 - 8   |             |             |      |    |        |  L16202  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
    29 |                                         |    4D  - 2[3]* |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          137.6107    |  0.0003   |          137.6106157 |  0.0000009 | nm (vac) |  16.40650186   -   25.41628630  |   8 - 8   |             |             |      |    |        |  L16202  |
       |                                         |                |          137.9377    |  0.0003   |          137.9378085 |  0.0000010 | nm (vac) |  16.42557623   -   25.41398919  |   6 - 6   |             |             |      |    |        |  L16202  |
       |                                         |                |          138.2228    |  0.0003   |          138.2228874 |  0.0000010 | nm (vac) |  16.44411446   -   25.41398919  |   4 - 6   |             |             |      |    |        |  L16202  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
    30 |                                         |    4D  - 2[2]* |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
