 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    221  6  6  311  17 2s2 2p11s       -1.01457E-02  8.36315E-01  9.0
    222  6  6  321   9 2s2 2p10d       -1.01386E-02  8.36322E-01 15.0
    223  6  6  111  16 2s2 2p11s       -1.01032E-02  8.36358E-01  3.0
    224  6  6  131  13 2s2 2p10d       -1.00701E-02  8.36391E-01  7.0
    225  6  6  130   7 2s2 2p10f       -1.00344E-02  8.36427E-01  7.0
    226  6  6  330   7 2s2 2p10f       -1.00340E-02  8.36427E-01 21.0
    227  6  6  341   6 2s2 2p10g       -1.00091E-02  8.36452E-01 27.0
    228  6  6  141   6 2s2 2p10g       -1.00091E-02  8.36452E-01  9.0
    229  6  6  311  18 2s2 2p10d       -1.00090E-02  8.36452E-01  9.0
    230  6  6  340  11 2s2 2p10f       -1.00063E-02  8.36455E-01 27.0
    231  6  6  140  11 2s2 2p10f       -1.00054E-02  8.36456E-01  9.0
    232  6  6  350   5 2s2 2p10h       -1.00010E-02  8.36460E-01 33.0
    233  6  6  150   5 2s2 2p10h       -1.00010E-02  8.36460E-01 11.0
    234  6  6  351   9 2s2 2p10g       -1.00004E-02  8.36461E-01 33.0
    235  6  6  151   9 2s2 2p10i       -1.00004E-02  8.36461E-01 11.0
    236  6  6  361   4 2s2 2p10i       -1.00000E-02  8.36461E-01 39.0
    237  6  6  161   4 2s2 2p10i       -1.00000E-02  8.36461E-01 13.0
    238  6  6  360   7 2s2 2p10h       -1.00000E-02  8.36461E-01 39.0
    239  6  6  160   7 2s2 2p10h       -1.00000E-02  8.36461E-01 13.0
    240  6  6  510   1 2s2p2(4PE) 3s    9.35423E-02  9.40003E-01 15.0
    241  6  6  301   1 2s 2p3:          1.19456E-01  9.65917E-01  3.0
    242  6  6  521   1 2s2p2(4PE) 3p    1.77785E-01  1.02425E+00 25.0
    243  6  6  511   1 2s2p2(4PE) 3p    1.86789E-01  1.03325E+00 15.0
    244  6  6  501   2 2s2p2(4PE) 3p    1.99453E-01  1.04591E+00  5.0
    245  6  6  301   2 2s2p2(4PE) 3p    2.37656E-01  1.08412E+00  3.0
    246  6  6  510   2 2s2p2(4PE) 4s    2.60733E-01  1.10719E+00 15.0
    247  6  6  530   1 2s2p2(4PE) 3d    2.61953E-01  1.10841E+00 35.0
    248  6  6  510   3 2s2p2(4PE) 3d    2.63472E-01  1.10993E+00 15.0
    249  6  6  520   1 2s2p2(4PE) 3d    2.66736E-01  1.11320E+00 25.0
    250  6  6  521   2 2s2p2(4PE) 4p    2.85975E-01  1.13244E+00 25.0
    251  6  6  511   2 2s2p2(4PE) 4p    2.88206E-01  1.13467E+00 15.0
    252  6  6  501   3 2s2p2(4PE) 4p    2.92745E-01  1.13921E+00  5.0
    253  6  6  301   3 2s2p2(4PE) 4p    2.95367E-01  1.14183E+00  3.0
    254  6  6  510   4 2s2p2(4PE) 5s    3.13529E-01  1.15999E+00 15.0
    255  6  6  530   2 2s2p2(4PE) 4d    3.13532E-01  1.15999E+00 35.0
    256  6  6  510   5 2s2p2(4PE) 4d    3.14960E-01  1.16142E+00 15.0
    257  6  6  520   2 2s2p2(4PE) 4d    3.15418E-01  1.16188E+00 25.0
    258  6  6  521   3 2s2p2(4PE) 4f    3.16190E-01  1.16265E+00 25.0
    259  6  6  541   1 2s2p2(4PE) 4f    3.16349E-01  1.16281E+00 45.0
    260  6  6  531   1 2s2p2(4PE) 4f    3.16827E-01  1.16329E+00 35.0
    261  6  6  521   4 2s2p2(4PE) 5p    3.24751E-01  1.17121E+00 25.0
    262  6  6  511   3 2s2p2(4PE) 5p    3.25684E-01  1.17215E+00 15.0
    263  6  6  301   4 2s2p2(4PE) 5p    3.27497E-01  1.17396E+00  3.0
    264  6  6  501   4 2s2p2(4PE) 5p    3.27781E-01  1.17424E+00  5.0
    265  6  6  530   3 2s2p2(4PE) 5d    3.37387E-01  1.18385E+00 35.0
    266  6  6  510   6 2s2p2(4PE) 6s    3.37502E-01  1.18396E+00 15.0
    267  6  6  510   7 2s2p2(4PE) 5d    3.38256E-01  1.18472E+00 15.0
    268  6  6  520   3 2s2p2(4PE) 5d    3.38349E-01  1.18481E+00 25.0
    269  6  6  521   5 2s2p2(4PE) 5f    3.38826E-01  1.18529E+00 25.0
    270  6  6  541   2 2s2p2(4PE) 5f    3.38914E-01  1.18537E+00 45.0
    271  6  6  530   4 2s2p2(4PE) 5g    3.38986E-01  1.18545E+00 35.0
    272  6  6  550   1 2s2p2(4PE) 5g    3.38996E-01  1.18546E+00 55.0
    273  6  6  540   1 2s2p2(4PE) 5g    3.39037E-01  1.18550E+00 45.0
    274  6  6  531   2 2s2p2(4PE) 5f    3.39185E-01  1.18565E+00 35.0
    275  6  6  521   6 2s2p2(4PE) 6p    3.43404E-01  1.18986E+00 25.0
    276  6  6  511   4 2s2p2(4PE) 6p    3.43886E-01  1.19035E+00 15.0
    277  6  6  301   5 2s2p2(4PE) 6p    3.44583E-01  1.19104E+00  3.0
    278  6  6  501   5 2s2p2(4PE) 6p    3.45027E-01  1.19149E+00  5.0
    279  6  6  530   5 2s2p2(4PE) 6d    3.50265E-01  1.19673E+00 35.0
    280  6  6  510   8 2s2p2(4PE) 7s    3.50365E-01  1.19683E+00 15.0
    281  6  6  510   9 2s2p2(4PE) 6d    3.50807E-01  1.19727E+00 15.0
    282  6  6  520   4 2s2p2(4PE) 6d    3.50820E-01  1.19728E+00 25.0
    283  6  6  521   7 2s2p2(4PE) 6f    3.51122E-01  1.19758E+00 25.0
    284  6  6  541   3 2s2p2(4PE) 6f    3.51171E-01  1.19763E+00 45.0
    285  6  6  530   6 2s2p2(4PE) 6g    3.51210E-01  1.19767E+00 35.0
    286  6  6  550   2 2s2p2(4PE) 6g    3.51219E-01  1.19768E+00 55.0
    287  6  6  551   1 2s2p2(4PE) 6h    3.51232E-01  1.19769E+00 55.0
    288  6  6  541   4 2s2p2(4PE) 6h    3.51232E-01  1.19769E+00 45.0
    289  6  6  540   2 2s2p2(4PE) 6g    3.51255E-01  1.19772E+00 45.0
    290  6  6  531   3 2s2p2(4PE) 6f    3.51334E-01  1.19780E+00 35.0
    291  6  6  521   8 2s2p2(4PE) 7p    3.53839E-01  1.20030E+00 25.0
    292  6  6  511   5 2s2p2(4PE) 7p    3.54121E-01  1.20058E+00 15.0
