    279.44?         S VIII  E1 2s2.2p4.(1D).3p-2s2.2p4.(3P).4s 2Do-2P   4 - 4  7.241e+06 8.476e-05     3 216.545900 - 260.91500? 063,ASD
    279.78          S VIII  E1 2s2.2p4.(3P).3d-2s.2p5.(1Po).3s  2D-2Po  4 - 4  1.170e+07 1.374e-04     3 228.472000 - 272.786000 063
    280.15          S VIII  E1 2s2.2p4.(1S).3s-2s.2p5.(3Po).3s  2S-2Po  2 - 2  1.148e+08 1.351e-03     3 209.304000 - 253.561000 063
    280.20?         S VIII  E1 2s2.2p4.(1D).3p-2s2.2p4.(3P).4s 2Do-2P   6 - 4  6.464e+07 5.072e-04     3 216.666200 - 260.91500? 063,ASD
    283.74          S VIII  E1 2s2.2p4.(3P).3d-2s.2p5.(1Po).3s  2D-2Po  6 - 4  1.010e+08 8.127e-04     3 229.090000 - 272.786000 063
    284.07          S VIII  E1 2s2.2p4.(3P).3d-2s.2p5.(1Po).3s  2P-2Po  4 - 2  2.095e+06 1.267e-05     3 229.222000 - 272.867000 063
    284.60          S VIII  E1 2s2.2p4.(3P).3d-2s.2p5.(1Po).3s  2P-2Po  4 - 4  5.209e+06 6.326e-05     3 229.222000 - 272.786000 063
    285.35          S VIII  E1 2s2.2p4.(1S).3s-2s.2p5.(3Po).3s  2S-2Po  2 - 4  1.086e+08 2.652e-03     3 209.304000 - 252.754000 063
    298.21?         S VIII  E1 2s2.2p4.(1D).3p-2s2.2p4.(3P).4s 2Po-2P   4 - 4  4.435e+09 5.913e-02     3 219.338300 - 260.91500? 063,ASD
    302.02?         S VIII  E1 2s2.2p4.(1D).3p-2s2.2p4.(3P).4s 2Po-2P   2 - 4  8.539e+08 2.335e-02     3 219.862500 - 260.91500? 063,ASD
    320.07          S VIII  E1 2s2.2p4.(1D).3d-2s.2p5.(1Po).3s  2S-2Po  2 - 2  1.118e+08 1.717e-03     3 234.130000 - 272.867000 063
    320.73          S VIII  E1 2s2.2p4.(1D).3d-2s.2p5.(1Po).3s  2S-2Po  2 - 4  1.111e+08 3.426e-03     3 234.130000 - 272.786000 063
    326.26          S VIII  E1 2s2.2p4.(1D).3d-2s.2p5.(1Po).3s  2P-2Po  4 - 2  1.413e+08 1.127e-03     3 234.865000 - 272.867000 063
    326.95          S VIII  E1 2s2.2p4.(1D).3d-2s.2p5.(1Po).3s  2P-2Po  4 - 4  3.509e+08 5.624e-03     3 234.865000 - 272.786000 063
    328.23          S VIII  E1 2s2.2p4.(1D).3d-2s.2p5.(1Po).3s  2D-2Po  6 - 4  3.399e+08 3.660e-03     3 235.013000 - 272.786000 063
    329.61          S VIII  E1 2s2.2p4.(1D).3d-2s.2p5.(1Po).3s  2P-2Po  2 - 2  2.740e+08 4.463e-03     3 235.252000 - 272.867000 063
    330.32          S VIII  E1 2s2.2p4.(1D).3d-2s.2p5.(1Po).3s  2P-2Po  2 - 4  6.806e+07 2.227e-03     3 235.252000 - 272.786000 063
    330.48          S VIII  E1 2s2.2p4.(1D).3d-2s.2p5.(1Po).3s  2D-2Po  4 - 2  3.700e+08 3.030e-03     3 235.351000 - 272.867000 063
    331.19          S VIII  E1 2s2.2p4.(1D).3d-2s.2p5.(1Po).3s  2D-2Po  4 - 4  3.677e+07 6.046e-04     3 235.351000 - 272.786000 063
    334.72?         S VIII  E1 2s2.2p4.(1S).3p-2s2.2p4.(3P).4s 2Po-2P   4 - 4  3.628e+08 6.093e-03     3 223.873000 - 260.91500? 063,ASD
