 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    159 26 21  230   8 3d2(3FE) 5d     -1.83349E+00  5.33702E+00 14.0
    160 26 21  450   2 3d2(3FE) 5d     -1.83328E+00  5.33723E+00 44.0
    161 26 21  420   3 3d2(3FE) 5d     -1.82907E+00  5.34144E+00 20.0
    162 26 21  210   7 3d2(3FE) 5d     -1.81232E+00  5.35819E+00  6.0
    163 26 21  231  16 3p5 3d4(1D2):   -1.80032E+00  5.37019E+00 14.0
    164 26 21  410   6 3d2(3FE) 5d     -1.79699E+00  5.37352E+00 12.0
    165 26 21  240   7 3d2(3FE) 5d     -1.79479E+00  5.37572E+00 18.0
    166 26 21  220  10 3d2(3FE) 5d     -1.78728E+00  5.38323E+00 10.0
    167 26 21  250   4 3d2(3FE) 5d     -1.78570E+00  5.38481E+00 22.0
    168 26 21  430   6 3d2(3FE) 5d     -1.78023E+00  5.39028E+00 28.0
    169 26 21  220  11 3d 4s2          -1.74844E+00  5.42207E+00 10.0
    170 26 21  211  12 3p5 3d4(1D4):   -1.72185E+00  5.44866E+00  6.0
    171 26 21  231  17 3d2(1SE) 4f     -1.70673E+00  5.46378E+00 14.0
    172 26 21  200   4 3d2(1DE) 5d     -1.67862E+00  5.49189E+00  2.0
    173 26 21  230   9 3d2(1DE) 5d     -1.67628E+00  5.49423E+00 14.0
    174 26 21  210   8 3d2(1DE) 5d:    -1.67224E+00  5.49827E+00  6.0
    175 26 21  240   8 3d2(1DE) 5d     -1.66329E+00  5.50722E+00 18.0
    176 26 21  241  14 3p5 3d4(1G4):   -1.65972E+00  5.51079E+00 18.0
    177 26 21  430   7 3d2(3PE) 5d     -1.64439E+00  5.52612E+00 28.0
    178 26 21  201   5 3p5 3d4(3P4)    -1.64428E+00  5.52623E+00  2.0
    179 26 21  220  12 3d2(1DE) 5d     -1.64253E+00  5.52798E+00 10.0
    180 26 21  211  13 3d2(1SE) 5p     -1.64234E+00  5.52817E+00  6.0
    181 26 21  420   4 3d2(3PE) 5d     -1.64197E+00  5.52854E+00 20.0
    182 26 21  230  10 3d2(3PE) 5d     -1.62482E+00  5.54569E+00 14.0
    183 26 21  221  16 3p5 3d4(3F4):   -1.62373E+00  5.54678E+00 10.0
    184 26 21  410   7 3d2(3PE) 5d     -1.62180E+00  5.54871E+00 12.0
    185 26 21  210   9 3d2(3PE) 5d     -1.61596E+00  5.55455E+00  6.0
    186 26 21  220  13 3d2(3PE) 5d     -1.60464E+00  5.56587E+00 10.0
    187 26 21  411   7 3p5 3d4(5D4)    -1.59737E+00  5.57314E+00 12.0
    188 26 21  430   8 3d2(3FE) 6s     -1.57437E+00  5.59614E+00 28.0
    189 26 21  230  11 3d2(3FE) 6s     -1.56691E+00  5.60360E+00 14.0
    190 26 21  240   9 3d2(1GE) 5d     -1.56622E+00  5.60429E+00 18.0
    191 26 21  250   5 3d2(1GE) 5d     -1.55366E+00  5.61685E+00 22.0
    192 26 21  231  18 3p5 3d4(3F4):   -1.54329E+00  5.62722E+00 14.0
    193 26 21  230  12 3d2(1GE) 5d     -1.53065E+00  5.63986E+00 14.0
    194 26 21  251  10 3p5 3d4(3H4)    -1.51751E+00  5.65300E+00 22.0
    195 26 21  220  14 3d2(1GE) 5d     -1.50808E+00  5.66243E+00 10.0
    196 26 21  421  12 3d2(3FE) 5f     -1.49941E+00  5.67110E+00 20.0
    197 26 21  451   4 3d2(3FE) 5f     -1.49411E+00  5.67640E+00 44.0
    198 26 21  231  19 3d2(3FE) 5f     -1.48572E+00  5.68479E+00 14.0
    199 26 21  441   9 3d2(3FE) 5f     -1.46121E+00  5.70930E+00 36.0
    200 26 21  241  15 3d2(3FE) 5f     -1.45882E+00  5.71169E+00 18.0
    201 26 21  211  14 3d2(3FE) 5f     -1.45700E+00  5.71351E+00  6.0
    202 26 21  431  10 3d2(3FE) 5f     -1.44629E+00  5.72422E+00 28.0
    203 26 21  250   6 3d2(3FE) 5g     -1.44449E+00  5.72602E+00 22.0
    204 26 21  450   3 3d2(3FE) 5g     -1.44442E+00  5.72609E+00 44.0
    205 26 21  240  10 3d2(3FE) 5g     -1.44229E+00  5.72822E+00 18.0
    206 26 21  440   3 3d2(3FE) 5g     -1.44228E+00  5.72823E+00 36.0
    207 26 21  210  10 3d2(3FE) 5g     -1.44054E+00  5.72997E+00  6.0
    208 26 21  410   8 3d2(3FE) 5g     -1.44032E+00  5.73019E+00 12.0
    209 26 21  221  17 3d2(3FE) 5f     -1.43930E+00  5.73121E+00 10.0
    210 26 21  430   9 3d2(3FE) 5g     -1.43896E+00  5.73155E+00 28.0
    211 26 21  230  13 3d2(3FE) 5g     -1.43844E+00  5.73207E+00 14.0
    212 26 21  420   5 3d2(3FE) 5g     -1.43835E+00  5.73216E+00 20.0
    213 26 21  231  20 3p5 3d4(1G4)    -1.43818E+00  5.73233E+00 14.0
    214 26 21  220  15 3d2(3FE) 5g     -1.43800E+00  5.73251E+00 10.0
    215 26 21  401   6 3d2(3FE) 5f     -1.43800E+00  5.73251E+00  4.0
    216 26 21  211  15 3p5 3d4(1S0):   -1.43224E+00  5.73827E+00  6.0
    217 26 21  441  10 3d2(3FE) 6p     -1.43133E+00  5.73918E+00 36.0
    218 26 21  431  11 3d2(3FE) 6p     -1.42761E+00  5.74290E+00 28.0
    219 26 21  421  13 3d2(3FE) 6p     -1.42630E+00  5.74421E+00 20.0
    220 26 21  220  16 3d2(1DE) 6s     -1.42473E+00  5.74578E+00 10.0
    221 26 21  221  18 3d2(3FE) 6p     -1.41992E+00  5.75059E+00 10.0
    222 26 21  241  16 3d2(3FE) 6p     -1.41835E+00  5.75216E+00 18.0
    223 26 21  231  21 3d2(3FE) 6p:    -1.41115E+00  5.75936E+00 14.0
    224 26 21  251  11 3d2(3FE) 5f:    -1.39722E+00  5.77329E+00 22.0
    225 26 21  410   9 3d2(3PE) 6s     -1.39719E+00  5.77332E+00 12.0
    226 26 21  210  11 3d2(3PE) 6s     -1.38949E+00  5.78102E+00  6.0
    227 26 21  201   6 3d2(3FE) 5f     -1.38407E+00  5.78644E+00  2.0
    228 26 21  411   8 3d2(3FE) 5f     -1.38358E+00  5.78693E+00 12.0
    229 26 21  211  16 3p5 3d4(3P4):   -1.37199E+00  5.79852E+00  6.0
    230 26 21  421  14 3p5 3d4(5D4)    -1.35641E+00  5.81410E+00 20.0
    231 26 21  241  17 3d2(1DE) 5f     -1.33230E+00  5.83821E+00 18.0
    232 26 21  221  19 3d2(1DE) 5f:    -1.32832E+00  5.84219E+00 10.0
    233 26 21  251  12 3d2(1DE) 5f     -1.32628E+00  5.84423E+00 22.0
    234 26 21  240  11 3d2(1GE) 6s     -1.32098E+00  5.84953E+00 18.0
    235 26 21  231  22 3d2(1DE) 5f     -1.32051E+00  5.85000E+00 14.0
    236 26 21  421  15 3d 4s(3DE) 4p   -1.31592E+00  5.85459E+00 20.0
    237 26 21  431  12 3d 4s(3DE) 4p   -1.30620E+00  5.86431E+00 28.0
    238 26 21  221  20 3p5 3d4(3F2):   -1.30606E+00  5.86445E+00 10.0
    239 26 21  441  11 3d2(3PE) 5f     -1.30278E+00  5.86773E+00 36.0
    240 26 21  220  17 3d2(1DE) 5g     -1.29522E+00  5.87529E+00 10.0
    241 26 21  230  14 3d2(1DE) 5g     -1.29517E+00  5.87534E+00 14.0
    242 26 21  250   7 3d2(1DE) 5g     -1.29328E+00  5.87723E+00 22.0
    243 26 21  240  12 3d2(1DE) 5g     -1.29230E+00  5.87821E+00 18.0
    244 26 21  431  13 3d2(3PE) 5f     -1.29216E+00  5.87835E+00 28.0
    245 26 21  211  17 3d2(1DE) 5f     -1.29202E+00  5.87849E+00  6.0
    246 26 21  241  18 3d2(3PE) 5f     -1.28907E+00  5.88144E+00 18.0
    247 26 21  221  21 3d2(3PE) 5f     -1.28563E+00  5.88488E+00 10.0
    248 26 21  231  23 3d2(1DE) 6p     -1.28132E+00  5.88919E+00 14.0
    249 26 21  211  18 3d2(1DE) 6p     -1.27846E+00  5.89205E+00  6.0
    250 26 21  221  22 3p5 3d4(3P2):   -1.27707E+00  5.89344E+00 10.0
    251 26 21  221  23 3d2(1DE) 6p:    -1.27508E+00  5.89543E+00 10.0
    252 26 21  421  16 3d2(3PE) 5f     -1.26790E+00  5.90261E+00 20.0
    253 26 21  430  10 3d2(3PE) 5g     -1.26712E+00  5.90339E+00 28.0
    254 26 21  230  15 3d2(3PE) 5g     -1.26707E+00  5.90344E+00 14.0
    255 26 21  450   4 3d2(3PE) 5g     -1.26537E+00  5.90514E+00 44.0
    256 26 21  250   8 3d2(3PE) 5g     -1.26478E+00  5.90573E+00 22.0
    257 26 21  201   7 3d2(3PE) 6p     -1.26242E+00  5.90809E+00  2.0
    258 26 21  440   4 3d2(3PE) 5g     -1.25778E+00  5.91273E+00 36.0
    259 26 21  401   7 3d2(3PE) 6p     -1.25709E+00  5.91342E+00  4.0
    260 26 21  240  13 3d2(3PE) 5g     -1.25684E+00  5.91367E+00 18.0
    261 26 21  231  24 3d2(3PE) 5f     -1.25212E+00  5.91839E+00 14.0
    262 26 21  411   9 3d 4s(3DE) 4p   -1.24778E+00  5.92273E+00 12.0
    263 26 21  411  10 3d2(3PE) 6p     -1.24534E+00  5.92517E+00 12.0
    264 26 21  421  17 3d2(3PE) 6p     -1.23823E+00  5.93228E+00 20.0
    265 26 21  221  24 3d2(3PE) 6p     -1.23713E+00  5.93338E+00 10.0
    266 26 21  211  19 3d2(3PE) 6p     -1.22944E+00  5.94107E+00  6.0
    267 26 21  440   5 3d2(3FE) 6d     -1.21790E+00  5.95261E+00 36.0
    268 26 21  220  18 3d2(1SE) 5d     -1.21749E+00  5.95302E+00 10.0
    269 26 21  450   5 3d2(3FE) 6d     -1.21616E+00  5.95435E+00 44.0
    270 26 21  420   6 3d2(3FE) 6d     -1.21445E+00  5.95606E+00 20.0
    271 26 21  230  16 3d2(3FE) 6d     -1.21386E+00  5.95665E+00 14.0
    272 26 21  241  19 3d2(1GE) 5f     -1.20833E+00  5.96218E+00 18.0
    273 26 21  231  25 3p5 3d4(3G4):   -1.20316E+00  5.96735E+00 14.0
    274 26 21  210  12 3d2(3FE) 6d     -1.20244E+00  5.96807E+00  6.0
    275 26 21  410  10 3d2(3FE) 6d     -1.19477E+00  5.97574E+00 12.0
    276 26 21  250   9 3d2(1GE) 5g     -1.19418E+00  5.97633E+00 22.0
    277 26 21  240  14 3d2(3FE) 6d     -1.19330E+00  5.97721E+00 18.0
    278 26 21  251  13 3d2(1GE) 5f     -1.19286E+00  5.97765E+00 22.0
    279 26 21  240  15 3d2(1GE) 5g     -1.19162E+00  5.97889E+00 18.0
    280 26 21  250  10 3d2(3FE) 6d     -1.18888E+00  5.98163E+00 22.0
    281 26 21  430  11 3d2(3FE) 6d     -1.18841E+00  5.98210E+00 28.0
    282 26 21  230  17 3d2(1GE) 5g     -1.18767E+00  5.98284E+00 14.0
    283 26 21  241  20 3d2(1GE) 6p     -1.18557E+00  5.98494E+00 18.0
    284 26 21  220  19 3d2(1GE) 5g     -1.18310E+00  5.98741E+00 10.0
    285 26 21  210  13 3d2(1GE) 5g     -1.17888E+00  5.99163E+00  6.0
    286 26 21  220  20 3d2(3FE) 6d     -1.17845E+00  5.99206E+00 10.0
    287 26 21  200   5 3d2(1GE) 5g     -1.17638E+00  5.99413E+00  2.0
    288 26 21  231  26 3d2(1GE) 5f     -1.17283E+00  5.99768E+00 14.0
    289 26 21  211  20 3d 4s(1DE) 4p   -1.17277E+00  5.99774E+00  6.0
    290 26 21  251  14 3d2(1GE) 6p     -1.16701E+00  6.00350E+00 22.0
    291 26 21  231  27 3d2(1GE) 6p     -1.16517E+00  6.00534E+00 14.0
    292 26 21  211  21 3d2(1GE) 5f     -1.15784E+00  6.01267E+00  6.0
    293 26 21  221  25 3d2(1GE) 5f     -1.10316E+00  6.06735E+00 10.0
    294 26 21  430  12 3d2(3FE) 7s     -1.07599E+00  6.09452E+00 28.0
    295 26 21  230  18 3d2(3FE) 7s     -1.07313E+00  6.09738E+00 14.0
    296 26 21  200   6 3d2(1DE) 6d     -1.06868E+00  6.10183E+00  2.0
    297 26 21  230  19 3d2(1DE) 6d     -1.06096E+00  6.10955E+00 14.0
    298 26 21  240  16 3d2(1DE) 6d     -1.05903E+00  6.11148E+00 18.0
    299 26 21  210  14 3d2(1DE) 6d     -1.05681E+00  6.11370E+00  6.0
    300 26 21  220  21 3d2(1DE) 6d     -1.05086E+00  6.11965E+00 10.0
    301 26 21  231  28 3d2(3FE) 6f     -1.05070E+00  6.11981E+00 14.0
    302 26 21  241  21 3d2(3FE) 6f     -1.03680E+00  6.13371E+00 18.0
    303 26 21  451   5 3d2(3FE) 6f     -1.03497E+00  6.13554E+00 44.0
    304 26 21  430  13 3d2(3PE) 6d     -1.03314E+00  6.13737E+00 28.0
    305 26 21  420   7 3d2(3PE) 6d     -1.03202E+00  6.13849E+00 20.0
    306 26 21  211  22 3d2(3FE) 6f     -1.02660E+00  6.14391E+00  6.0
    307 26 21  210  15 3d2(3PE) 6d     -1.02547E+00  6.14504E+00  6.0
    308 26 21  410  11 3d2(3PE) 6d     -1.02385E+00  6.14666E+00 12.0
    309 26 21  230  20 3d2(3PE) 6d     -1.01988E+00  6.15063E+00 14.0
    310 26 21  441  12 3d2(3FE) 6f     -1.01506E+00  6.15545E+00 36.0
    311 26 21  421  18 3d2(3FE) 6f     -1.01429E+00  6.15622E+00 20.0
    312 26 21  431  14 3d2(3FE) 6f     -1.01129E+00  6.15922E+00 28.0
