 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    173 26 24  500   4 3d5(6S5) 6s     -4.92815E-01  1.64428E+00  5.0
    174 26 24  520   8 3d5(6S5) 5d     -4.73856E-01  1.66324E+00 25.0
    175 26 24  360   3 3d5(2I5) 4d     -4.63965E-01  1.67314E+00 39.0
    176 26 24  150   2 3d5(2I5) 4d     -4.63091E-01  1.67401E+00 11.0
    177 26 24  370   1 3d5(2I5) 4d     -4.59884E-01  1.67722E+00 45.0
    178 26 24  170   1 3d5(2I5) 4d     -4.56798E-01  1.68030E+00 15.0
    179 26 24  340   8 3d5(2I5) 4d     -4.44916E-01  1.69218E+00 27.0
    180 26 24  140   5 3d5(2I5) 4d     -4.44263E-01  1.69284E+00  9.0
    181 26 24  331  10 3d5(2D1) 4p     -4.39052E-01  1.69805E+00 21.0
    182 26 24  300   3 3d5(2D5) 4d     -4.36770E-01  1.70033E+00  3.0
    183 26 24  110   2 3d5(2D5) 4d     -4.36301E-01  1.70080E+00  3.0
    184 26 24  711   3 3d5(6S5) 6p     -4.35723E-01  1.70138E+00 21.0
    185 26 24  340   9 3d5(2D5) 4d     -4.33595E-01  1.70351E+00 27.0
    186 26 24  360   4 3d5(2I5) 5s     -4.32526E-01  1.70457E+00 39.0
    187 26 24  350   4 3d5(2I5) 4d     -4.31576E-01  1.70552E+00 33.0
    188 26 24  130   4 3d5(2D5) 4d     -4.31237E-01  1.70586E+00  7.0
    189 26 24  320  10 3d5(2D5) 4d     -4.28511E-01  1.70859E+00 15.0
    190 26 24  511   5 3d5(6S5) 6p     -4.27701E-01  1.70940E+00 15.0
    191 26 24  541   3 3d5(4G5) 5p     -4.27495E-01  1.70960E+00 45.0
    192 26 24  160   3 3d5(2I5) 5s     -4.27009E-01  1.71009E+00 13.0
    193 26 24  321   9 3d5(2D1) 4p     -4.26974E-01  1.71013E+00 15.0
    194 26 24  551   2 3d5(4G5) 5p     -4.25107E-01  1.71199E+00 55.0
    195 26 24  330   9 3d5(2D5) 4d     -4.23305E-01  1.71379E+00 21.0
    196 26 24  120   6 3d5(2D5) 4d     -4.21396E-01  1.71570E+00  5.0
    197 26 24  121   6 3d5(2D1) 4p     -4.20334E-01  1.71677E+00  5.0
    198 26 24  531   5 3d5(4G5) 5p     -4.19975E-01  1.71712E+00 35.0
    199 26 24  310   8 3d5(2D5) 4d     -4.18215E-01  1.71888E+00  9.0
    200 26 24  140   6 3d5(2D5) 4d     -4.18135E-01  1.71897E+00  9.0
    201 26 24  530   5 3d5(4F3) 4d     -4.16650E-01  1.72045E+00 35.0
    202 26 24  350   5 3d5(2F3) 4d     -4.16232E-01  1.72087E+00 33.0
    203 26 24  340  10 3d5(2F3) 4d     -4.15326E-01  1.72177E+00 27.0
    204 26 24  150   3 3d5(2F3) 4d     -4.15224E-01  1.72188E+00 11.0
    205 26 24  550   2 3d5(4F3) 4d     -4.15102E-01  1.72200E+00 55.0
    206 26 24  351   6 3d5(4G5) 5p     -4.15087E-01  1.72201E+00 33.0
    207 26 24  110   3 3d5(2F3) 4d     -4.15035E-01  1.72206E+00  3.0
    208 26 24  320  11 3d5(2F3) 4d     -4.14092E-01  1.72301E+00 15.0
