 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    168 26 22  300   2 3d3(2D1) 4d     -1.52224E+00  3.91759E+00  3.0
    169 26 22  330  13 3d3(2D1) 4d     -1.51882E+00  3.92101E+00 21.0
    170 26 22  511   3 3d3(4P3) 5p     -1.51377E+00  3.92606E+00 15.0
    171 26 22  311   6 3d3(4P3) 5p     -1.50577E+00  3.93406E+00  9.0
    172 26 22  521   5 3d3(4P3) 5p     -1.50495E+00  3.93488E+00 25.0
    173 26 22  330  14 3d3(2F3) 5s     -1.49667E+00  3.94316E+00 21.0
    174 26 22  310  12 3d3(2D1) 4d     -1.49219E+00  3.94764E+00  9.0
    175 26 22  351   4 3d3(2G3) 5p     -1.48903E+00  3.95080E+00 33.0
    176 26 22  140   9 3d3(2D1) 4d     -1.48841E+00  3.95142E+00  9.0
    177 26 22  341   7 3d3(2G3) 5p     -1.48801E+00  3.95182E+00 27.0
    178 26 22  130   9 3d3(2F3) 5s     -1.48715E+00  3.95268E+00  7.0
    179 26 22  501   3 3d3(4P3) 5p     -1.48420E+00  3.95563E+00  5.0
    180 26 22  321   9 3d3(4P3) 5p     -1.48154E+00  3.95829E+00 15.0
    181 26 22  141   4 3d3(2G3) 5p     -1.48068E+00  3.95915E+00  9.0
    182 26 22  331   8 3d3(2G3) 5p     -1.47848E+00  3.96135E+00 21.0
    183 26 22  151   3 3d3(2G3) 5p     -1.47526E+00  3.96457E+00 11.0
    184 26 22  131   5 3d3(2G3) 5p     -1.47249E+00  3.96734E+00  7.0
    185 26 22  301   4 3d3(4P3) 5p     -1.45276E+00  3.98707E+00  3.0
    186 26 22  101   2 3d3(2P3) 5p     -1.45271E+00  3.98712E+00  1.0
    187 26 22  311   7 3d3(2P3) 5p     -1.44027E+00  3.99956E+00  9.0
    188 26 22  321  10 3d3(2P3) 5p     -1.43861E+00  4.00122E+00 15.0
    189 26 22  121   5 3d3(2P3) 5p     -1.43740E+00  4.00243E+00  5.0
    190 26 22  531   4 3d3(4P3) 4f     -1.43708E+00  4.00275E+00 35.0
    191 26 22  301   5 3d3(2P3) 5p     -1.43552E+00  4.00431E+00  3.0
    192 26 22  331   9 3d3(4P3) 4f     -1.43446E+00  4.00537E+00 21.0
    193 26 22  351   5 3d3(2H3) 5p     -1.43022E+00  4.00961E+00 33.0
    194 26 22  111   4 3d3(2P3) 5p     -1.42784E+00  4.01199E+00  3.0
    195 26 22  541   4 3d3(4P3) 4f     -1.42778E+00  4.01205E+00 45.0
    196 26 22  120  10 3d3(2D1) 4d     -1.42633E+00  4.01350E+00  5.0
    197 26 22  521   6 3d3(4P3) 4f     -1.41755E+00  4.02228E+00 25.0
    198 26 22  151   4 3d3(2H3) 5p     -1.41739E+00  4.02244E+00 11.0
    199 26 22  331  10 3d3(2D3) 5p     -1.41702E+00  4.02281E+00 21.0
    200 26 22  351   6 3d3(2G3) 4f     -1.41426E+00  4.02557E+00 33.0
    201 26 22  341   8 3d3(4P3) 4f     -1.41180E+00  4.02803E+00 27.0
    202 26 22  311   8 3d3(2D3) 5p     -1.41104E+00  4.02879E+00  9.0
    203 26 22  131   6 3d3(2G3) 4f     -1.40916E+00  4.03067E+00  7.0
