2,1,8,19.057,.65059,4.19(−02),1.92(+00),1.90(−02),1.8201(−01),F’335-P’133,37
2,1,8,19.058,.65057,2.48(−01),3.39(−01),4.23(−01),1.2902(+00),A’379-D’357,38
2,1,8,19.060,.65049,2.06(−01),3.39(−01),3.51(−01),8.3263(−01),A’377-D’355,39
2,1,8,19.063,.65041,1.92(−01),3.17(−01),3.38(−01),5.3673(−01),A’375-D’353,40
2,1,8,19.063,.65041,4.84(−02),3.17(−01),8.54(−02),1.3545(−01),A’375-D’355,41
2,1,8,19.101,.64909,1.88(−01),4.55(−04),7.60(−01),2.4224(−03),F’357-P’335,42
2,1,8,19.104,.64901,1.40(−01),2.33(−03),5.56(−01),6.4756(−03),F’355-P’333,43
2,1,8,19.104,.64899,4.97(−02),2.33(−03),1.98(−01),2.2992(−03),F’355-P’335,44
2,1,8,19.106,.64894,9.94(−02),1.42(−04),3.89(−01),1.6542(−04),F’353-P’331,45
2,1,8,19.106,.64894,7.72(−02),1.42(−04),3.02(−01),1.2853(−04),F’353-P’333,46
2,1,8,19.124,.64833,4.76(−02),2.53(−02),2.17(−01),5.4985(−03),B’331-D’353,47
2,1,8,19.141,.64774,2.18(−01),4.80(−05),6.88(−01),9.8929(−05),F’133-P’133,48
2,1,8,19.172,.64669,1.16(−01),5.60(−02),5.23(−01),8.7921(−02),C’133-S’111,49
2,1,8,19.198,.64582,4.21(−02),5.78(−02),2.71(−01),4.7022(−02),E’313-P’335,50
2,1,9,14.923,.83084,3.22(−01),2.99(−01),4.81(−01),1.4367(−01),F’111-P’133,3
2,1,9,14.930,.83044,3.50(−01),4.63(−01),4.02(−01),5.5901(−01),A’133-D’155,4
2,1,9,14.958,.82890,3.92(−01),1.78(+00),1.74(−01),2.1706(+00),A’177-D’155,5
2,1,9,14.972,.82812,3.20(−01),4.04(−04),8.53(−01),3.4513(−04),A’331-D’353,6
2,1,9,14.972,.82809,9.15(−02),4.87(−03),2.42(−01),3.5314(−03),A’333-D’353,7
2,1,9,14.972,.82809,2.18(−01),4.87(−03),5.76(−01),8.4010(−03),A’333-D’355,8
2,1,9,14.974,.82803,2.51(−01),4.88(−04),6.74(−01),1.6453(−03),A’335-D’357,9
2,1,9,14.978,.82780,1.72(−01),6.01(+00),2.77(−02),8.3186(−01),G’155-P’133,10
2,1,9,14.980,.82769,2.14(−01),7.54(+00),2.73(−02),6.1835(−01),B’133-S’111,11
2,1,9,14.997,.82676,1.00(−01),4.07(−03),2.72(−01),3.3133(−03),F’313-P’333,14
2,1,9,14.997,.82672,1.29(−01),4.07(−03),3.49(−01),4.2592(−03),F’313-P’335,15
2,1,9,15.004,.82632,8.25(−02),1.86(−01),2.41(−01),3.1413(−01),G’357-P’335,16
2,1,9,15.005,.82631,6.48(−02),2.09(−01),1.80(−01),1.8825(−01),G’355-P’333,17
2,1,9,15.005,.82629,4.57(−02),1.86(−01),1.38(−01),7.7099(−02),G’353-P’331,18
2,1,9,15.007,.82620,3.53(−01),2.08(−03),7.70(−01),1.1214(−02),A’357-D’357,19
2,1,9,15.007,.82616,2.54(−01),3.82(−04),5.56(−01),1.0602(−03),A’355-D’355,20
2,1,9,15.008,.82611,2.91(−01),8.20(−02),5.43(−01),1.3364(−01),A’353-D’353,21
2,1,9,15.008,.82611,1.11(−01),8.20(−02),2.07(−01),5.1070(−02),A’353-D’355,22
2,1,9,15.014,.82577,1.27(−01),4.48(+00),2.60(−02),5.8355(−01),F’155-P’335,23
2,1,9,15.016,.82566,6.34(−02),3.16(+00),1.76(−02),2.7819(−01),F’335-P’333,24
2,1,9,15.017,.82563,1.92(−01),3.16(+00),5.33(−02),8.4396(−01),F’335-P’335,25
2,1,9,15.017,.82561,1.33(−01),1.96(−04),2.61(−01),1.5371(−04),F’333-P’331,26
2,1,9,15.018,.82556,1.95(−01),1.96(−04),3.82(−01),2.2506(−04),F’333-P’335,27
2,1,9,15.019,.82554,4.25(−01),4.27(−03),8.26(−01),3.5228(−03),F’331-P’333,28
2,1,9,15.026,.82513,2.61(−01),2.86(−04),7.30(−01),1.0428(−03),B’335-S’313,29
2,1,9,15.028,.82502,2.14(−01),1.59(−02),6.27(−01),2.9857(−02),B’333-S’313,30
