 3s2.3p5.(2Po<3/2>).10d   3/2[3/2]o     3   15.61945      066
 3s2.3p5.(2Po<3/2>).10f   3/2[3/2]      5   15.62305      066
 3s2.3p5.(2Po<3/2>).10f   3/2[5/2]      5   15.62328      066
 3s2.3p5.(2Po<1/2>).7d    1/2[3/2]o     5   15.628591     066
 3s2.3p5.(2Po<1/2>).7d    1/2[5/2]o     5   15.629997     066
 3s2.3p5.(2Po<1/2>).7d    1/2[5/2]o     7   15.633109     066
 3s2.3p5.(2Po<1/2>).7d    1/2[3/2]o     3   15.64208      066
 3s2.3p5.(2Po<1/2>).9s    1/2[1/2]o     1   15.647149     066
 3s2.3p5.(2Po<1/2>).9s    1/2[1/2]o     3   15.648233     066
 3s2.3p5.(2Po<1/2>).7f    1/2[7/2]      7   15.658562     066
 3s2.3p5.(2Po<1/2>).7f    1/2[7/2]      9   15.658563     066
 3s2.3p5.(2Po<1/2>).7f    1/2[5/2]      7   15.658579     066
 3s2.3p5.(2Po<1/2>).7f    1/2[5/2]      5   15.6586       066
 3s2.3p5.(2Po<1/2>).9p    1/2[1/2]      1   15.686999     066
 3s2.3p5.(2Po<1/2>).8d    1/2[3/2]o     3   15.71347      066
 3s2.3p5.(2Po<1/2>).10s   1/2[1/2]o     3   15.71605      066
 3s2.3p5.(2Po<3/2>)       Limit             15.759605     066
 3s2.3p5.(2Po<1/2>)       Limit             15.937098     066
