 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    185 20 18  150   4 3s2 3p5 9h      -1.11075E-01  3.57262E+00 11.0
    186 20 18  341   5 3s2 3p5 9g      -1.10925E-01  3.57277E+00 27.0
    187 20 18  141   5 3s2 3p5 9g      -1.10925E-01  3.57277E+00  9.0
    188 20 18  311  15 3s2 3p510d      -1.01381E-01  3.58231E+00  9.0
    189 20 18  331  13 3s2 3p510d      -1.00617E-01  3.58307E+00 21.0
    190 20 18  131  13 3s2 3p510d      -9.99584E-02  3.58373E+00  7.0
    191 20 18  121   8 3s2 3p510d      -9.97131E-02  3.58398E+00  5.0
    192 20 18  321   8 3s2 3p510d      -9.97131E-02  3.58398E+00 15.0
    193 20 18  300   8 3s2 3p511p      -9.95946E-02  3.58410E+00  3.0
    194 20 18  311  16 3s2 3p511s      -9.93402E-02  3.58435E+00  9.0
    195 20 18  111  15 3s2 3p511s      -9.89497E-02  3.58474E+00  3.0
    196 20 18  111  16 3s2 3p510d      -9.60612E-02  3.58763E+00  3.0
    197 20 18  320  14 3s2 3p511p      -9.34209E-02  3.59027E+00 15.0
    198 20 18  120  14 3s2 3p511p      -9.30264E-02  3.59066E+00  5.0
    199 20 18  310   8 3s2 3p511p      -9.28247E-02  3.59087E+00  9.0
    200 20 18  110   8 3s2 3p511p      -9.28247E-02  3.59087E+00  3.0
    201 20 18  320  15 3s2 3p510f      -9.25232E-02  3.59117E+00 15.0
    202 20 18  100   9 3s2 3p511p      -9.24029E-02  3.59129E+00  1.0
    203 20 18  340  11 3s2 3p510f      -9.06890E-02  3.59300E+00 27.0
    204 20 18  140  11 3s2 3p510f      -9.05369E-02  3.59315E+00  9.0
    205 20 18  120  15 3s2 3p510f      -9.03904E-02  3.59330E+00  5.0
    206 20 18  331  14 3s2 3p510g      -9.01302E-02  3.59356E+00 21.0
    207 20 18  131  14 3s2 3p510g      -9.01139E-02  3.59358E+00  7.0
    208 20 18  130   7 3s2 3p510f      -9.01092E-02  3.59358E+00  7.0
    209 20 18  330   7 3s2 3p510f      -9.01092E-02  3.59358E+00 21.0
    210 20 18  351   9 3s2 3p510g      -9.00840E-02  3.59361E+00 33.0
    211 20 18  151   9 3s2 3p510g      -9.00789E-02  3.59361E+00 11.0
    212 20 18  340  12 3s2 3p510h      -9.00155E-02  3.59367E+00 27.0
    213 20 18  140  12 3s2 3p510h      -9.00148E-02  3.59368E+00  9.0
 ====================================================================
