 2s2.2p5.(2Po<3/2>).7p    3/2[3/2]      5   21.208762     024
 2s2.2p5.(2Po<3/2>).7p    3/2[1/2]      1   21.219742     024
 2s2.2p5.(2Po<1/2>).7s    1/2[1/2]o     1   21.240087     024
 2s2.2p5.(2Po<1/2>).7s    1/2[1/2]o     3   21.2414687    024
 2s2.2p5.(2Po<3/2>).8s    3/2[3/2]o     5   21.2599791    024
 2s2.2p5.(2Po<3/2>).8s    3/2[3/2]o     3   21.2619842    024
 2s2.2p5.(2Po<1/2>).6d    1/2[3/2]o     5   21.2806417    024
 2s2.2p5.(2Po<1/2>).6d    1/2[5/2]o     5   21.2809131    024
 2s2.2p5.(2Po<1/2>).6d    1/2[5/2]o     7   21.2809490    024
 2s2.2p5.(2Po<1/2>).6d    1/2[3/2]o     3   21.281251     024
 2s2.2p5.(2Po<1/2>).6f    1/2[5/2]      5   21.2830936    023
 2s2.2p5.(2Po<1/2>).6f    1/2[5/2]      7   21.2830936    023
 2s2.2p5.(2Po<1/2>).6f    1/2[7/2]      7   21.2831158    023
 2s2.2p5.(2Po<1/2>).6f    1/2[7/2]      9   21.2831169    023
 2s2.2p5.(2Po<1/2>).6g    1/2[7/2]o     7   21.2833102    023
 2s2.2p5.(2Po<1/2>).6g    1/2[7/2]o     9   21.2833102    023
 2s2.2p5.(2Po<1/2>).6g    1/2[9/2]o     9   21.2833124    023
 2s2.2p5.(2Po<1/2>).6g    1/2[9/2]o    11   21.2833124    023
 2s2.2p5.(2Po<3/2>).7d    3/2[1/2]o     1   21.284263     024
 2s2.2p5.(2Po<3/2>).7d    3/2[1/2]o     3   21.284603     024
 2s2.2p5.(2Po<3/2>).7d    3/2[7/2]o     9   21.2850430    024
 2s2.2p5.(2Po<3/2>).7d    3/2[7/2]o     7   21.2850757    024
 2s2.2p5.(2Po<3/2>).7d    3/2[3/2]o     5   21.2857726    024
 2s2.2p5.(2Po<3/2>).7d    3/2[3/2]o     3   21.2859675    024
 2s2.2p5.(2Po<3/2>).7d    3/2[5/2]o     5   21.2862609    024
 2s2.2p5.(2Po<3/2>).7d    3/2[5/2]o     7   21.2862917    024
 2s2.2p5.(2Po<3/2>).7f    3/2[3/2]      3   21.2864199    023
 2s2.2p5.(2Po<3/2>).7f    3/2[3/2]      5   21.2864199    023
 2s2.2p5.(2Po<3/2>).7f    3/2[9/2]      9   21.2865945    023
 2s2.2p5.(2Po<3/2>).7f    3/2[9/2]     11   21.2865945    023
 2s2.2p5.(2Po<3/2>).7g    3/2[5/2]o     5   21.2867132    023
 2s2.2p5.(2Po<3/2>).7g    3/2[5/2]o     7   21.2867132    023
 2s2.2p5.(2Po<3/2>).7g    3/2[11/2]o   11   21.2867750    023
 2s2.2p5.(2Po<3/2>).7g    3/2[11/2]o   13   21.2867750    023
 2s2.2p5.(2Po<3/2>).7f    3/2[5/2]      5   21.286858     023
 2s2.2p5.(2Po<3/2>).7f    3/2[5/2]      7   21.286858     023
 2s2.2p5.(2Po<3/2>).7g    3/2[7/2]o     7   21.2869029    023
 2s2.2p5.(2Po<3/2>).7g    3/2[7/2]o     9   21.2869029    023
 2s2.2p5.(2Po<3/2>).7g    3/2[9/2]o     9   21.2869628    023
 2s2.2p5.(2Po<3/2>).7g    3/2[9/2]o    11   21.2869628    023
 2s2.2p5.(2Po<3/2>).7f    3/2[7/2]      7   21.2870063    023
 2s2.2p5.(2Po<3/2>).7f    3/2[7/2]      9   21.2870063    023
 2s2.2p5.(2Po<3/2>).8p    3/2[1/2]      3   21.29454      024
 2s2.2p5.(2Po<3/2>).8p    3/2[5/2]      7   21.29887      024
 2s2.2p5.(2Po<3/2>).8p    3/2[5/2]      5   21.29945      024
 2s2.2p5.(2Po<3/2>).8p    3/2[3/2]      3   21.30027      024
 2s2.2p5.(2Po<3/2>).8p    3/2[3/2]      5   21.30087      024
 2s2.2p5.(2Po<1/2>).7p    1/2[3/2]      3   21.30324      024
 2s2.2p5.(2Po<1/2>).7p    1/2[3/2]      5   21.30399      024
 2s2.2p5.(2Po<1/2>).7p    1/2[1/2]      3   21.30429      024
 2s2.2p5.(2Po<3/2>).8p    3/2[1/2]      1   21.30433      024
 2s2.2p5.(2Po<1/2>).7p    1/2[1/2]      1   21.314553     024
 2s2.2p5.(2Po<3/2>).9s    3/2[3/2]o     5   21.3341319    024
 2s2.2p5.(2Po<3/2>).9s    3/2[3/2]o     3   21.3353122    024
 2s2.2p5.(2Po<3/2>).8d    3/2[1/2]o     1   21.350120     024
 2s2.2p5.(2Po<3/2>).8d    3/2[1/2]o     3   21.350310     024
 2s2.2p5.(2Po<3/2>).8d    3/2[7/2]o     9   21.3507128    024
 2s2.2p5.(2Po<3/2>).8d    3/2[7/2]o     7   21.3507335    024
 2s2.2p5.(2Po<3/2>).8d    3/2[3/2]o     5   21.350917     024
 2s2.2p5.(2Po<3/2>).8d    3/2[3/2]o     3   21.351206     024
 2s2.2p5.(2Po<3/2>).8d    3/2[5/2]o     5   21.3514549    024
 2s2.2p5.(2Po<3/2>).8d    3/2[5/2]o     7   21.3514740    024
 2s2.2p5.(2Po<3/2>).8f    3/2[3/2]      3   21.351653     024
 2s2.2p5.(2Po<3/2>).8f    3/2[3/2]      5   21.351653     024
 2s2.2p5.(2Po<3/2>).8f    3/2[9/2]      9   21.351760     024
 2s2.2p5.(2Po<3/2>).8f    3/2[9/2]     11   21.351760     024
 2s2.2p5.(2Po<3/2>).8f    3/2[7/2]      7   21.352026     024
