 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    244 16 14  510   6 3s 3p2(4PE) 6s   2.19512E-01  2.78623E+00 15.0
    245 16 14  521   4 3s 3p2(4PE) 5f   2.30807E-01  2.79753E+00 25.0
    246 16 14  541   2 3s 3p2(4PE) 5f   2.41837E-01  2.80856E+00 45.0
    247 16 14  531   2 3s 3p2(4PE) 5f   2.55161E-01  2.82188E+00 35.0
    248 16 14  301   4 3s 3p2(4PE) 6p   2.55326E-01  2.82205E+00  3.0
    249 16 14  530   4 3s 3p2(4PE) 5g   2.56669E-01  2.82339E+00 35.0
    250 16 14  550   1 3s 3p2(4PE) 5g   2.57067E-01  2.82379E+00 55.0
    251 16 14  350   1 3s 3p2(4PE) 5g   2.57265E-01  2.82399E+00 33.0
    252 16 14  540   1 3s 3p2(4PE) 5g   2.59427E-01  2.82615E+00 45.0
    253 16 14  521   5 3s 3p2(4PE) 6p   2.63586E-01  2.83031E+00 25.0
    254 16 14  511   3 3s 3p2(4PE) 6p   2.66774E-01  2.83349E+00 15.0
    255 16 14  501   4 3s 3p2(4PE) 6p   2.70938E-01  2.83766E+00  5.0
    256 16 14  301   5 3s 3p2(2PE) 4p   2.94082E-01  2.86080E+00  3.0
    257 16 14  521   6 3p3 3d           3.01581E-01  2.86830E+00 25.0
    258 16 14  530   5 3s 3p2(4PE) 6d   3.32958E-01  2.89968E+00 35.0
    259 16 14  541   3 3s 3p 3d2        3.36399E-01  2.90312E+00 45.0
    260 16 14  520   4 3s 3p2(4PE) 6d   3.36536E-01  2.90326E+00 25.0
    261 16 14  510   7 3s 3p2(4PE) 6d   3.37105E-01  2.90383E+00 15.0
    262 16 14  510   8 3s 3p2(4PE) 7s   3.46502E-01  2.91322E+00 15.0
    263 16 14  531   3 3s 3p2(4PE) 6f   3.65517E-01  2.93224E+00 35.0
    264 16 14  530   6 3s 3p2(4PE) 6g   3.66957E-01  2.93368E+00 35.0
    265 16 14  550   2 3s 3p2(4PE) 6g   3.67242E-01  2.93396E+00 55.0
    266 16 14  350   2 3s 3p2(4PE) 6g   3.67433E-01  2.93415E+00 33.0
    267 16 14  521   7 3s 3p2(4PE) 6f   3.67656E-01  2.93438E+00 25.0
    268 16 14  540   2 3s 3p2(4PE) 6g   3.69032E-01  2.93575E+00 45.0
    269 16 14  301   6 3s 3p2(4PE) 7p   3.72221E-01  2.93894E+00  3.0
    270 16 14  521   8 3s 3p2(4PE) 7p   3.72321E-01  2.93904E+00 25.0
    271 16 14  511   4 3s 3p2(4PE) 7p   3.73623E-01  2.94034E+00 15.0
    272 16 14  541   4 3s 3p2(4PE) 6f:  3.75087E-01  2.94181E+00 45.0
    273 16 14  501   5 3s 3p2(4PE) 7p   3.75778E-01  2.94250E+00  5.0
    274 16 14  530   7 3s 3p2(4PE) 7d   4.12829E-01  2.97955E+00 35.0
    275 16 14  520   5 3s 3p2(4PE) 7d   4.14967E-01  2.98169E+00 25.0
    276 16 14  510   9 3s 3p2(4PE) 7d   4.15169E-01  2.98189E+00 15.0
    277 16 14  510  10 3s 3p2(4PE) 8s   4.21080E-01  2.98780E+00 15.0
    278 16 14  521   9 3s 3p2(4PE) 7f   4.31101E-01  2.99782E+00 25.0
    279 16 14  531   4 3s 3p2(4PE) 7f   4.32448E-01  2.99917E+00 35.0
    280 16 14  541   5 3s 3p2(4PE) 7f   4.33141E-01  2.99986E+00 45.0
    281 16 14  530   8 3s 3p2(4PE) 7g   4.33593E-01  3.00031E+00 35.0
    282 16 14  550   3 3s 3p2(4PE) 7g   4.33780E-01  3.00050E+00 55.0
    283 16 14  350   3 3s 3p2(4PE) 7g   4.33930E-01  3.00065E+00 33.0
    284 16 14  540   3 3s 3p2(4PE) 7g   4.35011E-01  3.00173E+00 45.0
    285 16 14  301   7 3s 3p2(4PE) 8p   4.36208E-01  3.00293E+00  3.0
    286 16 14  521  10 3s 3p2(4PE) 8p   4.37070E-01  3.00379E+00 25.0
    287 16 14  511   5 3s 3p2(4PE) 8p   4.38067E-01  3.00479E+00 15.0
    288 16 14  501   6 3s 3p2(4PE) 8p   4.39336E-01  3.00606E+00  5.0
    289 16 14  530   9 3s 3p2(4PE) 8d   4.63216E-01  3.02994E+00 35.0
    290 16 14  520   6 3s 3p2(4PE) 8d   4.64604E-01  3.03132E+00 25.0
    291 16 14  510  11 3s 3p2(4PE) 8d   4.64670E-01  3.03139E+00 15.0
    292 16 14  510  12 3s 3p2(4PE) 9s   4.68628E-01  3.03535E+00 15.0
    293 16 14  301   8 3s 3p2(2PE) 5p:  4.73356E-01  3.04008E+00  3.0
    294 16 14  521  11 3s 3p2(4PE) 8f   4.73532E-01  3.04025E+00 25.0
    295 16 14  541   6 3s 3p2(4PE) 8f   4.75857E-01  3.04258E+00 45.0
    296 16 14  531   5 3s 3p2(4PE) 8f   4.75952E-01  3.04267E+00 35.0
    297 16 14  530  10 3s 3p2(4PE) 8g   4.76854E-01  3.04357E+00 35.0
    298 16 14  550   4 3s 3p2(4PE) 8g   4.76980E-01  3.04370E+00 55.0
    299 16 14  350   4 3s 3p2(4PE) 8g   4.77093E-01  3.04381E+00 33.0
    300 16 14  540   4 3s 3p2(4PE) 8g   4.77837E-01  3.04456E+00 45.0
    301 16 14  521  12 3s 3p2(4PE) 9p   4.79269E-01  3.04599E+00 25.0
    302 16 14  511   6 3s 3p2(4PE) 9p   4.79964E-01  3.04668E+00 15.0
    303 16 14  501   7 3s 3p2(4PE) 9p   4.80780E-01  3.04750E+00  5.0
    304 16 14  301   9 3s 3p2(4PE) 9p   4.82458E-01  3.04918E+00  3.0
    305 16 14  150   1 3s 3p2(2DE) 5g   4.83966E-01  3.05069E+00 11.0
    306 16 14  350   5 3s 3p2(2DE) 5g   4.84032E-01  3.05075E+00 33.0
    307 16 14  360   1 3s 3p2(2DE) 5g   4.86656E-01  3.05338E+00 39.0
    308 16 14  160   1 3s 3p2(2DE) 5g   4.86921E-01  3.05364E+00 13.0
    309 16 14  530  11 3s 3p2(4PE) 9d   4.97063E-01  3.06378E+00 35.0
    310 16 14  520   7 3s 3p2(4PE) 9d   4.98017E-01  3.06474E+00 25.0
    311 16 14  510  13 3s 3p2(4PE) 9d   4.98030E-01  3.06475E+00 15.0
    312 16 14  521  13 3s 3p2(4PE) 9f:  4.99666E-01  3.06639E+00 25.0
    313 16 14  510  14 3s 3p2(4PE)10s   5.00808E-01  3.06753E+00 15.0
    314 16 14  541   7 3s 3p2(4PE) 9f   5.05613E-01  3.07233E+00 45.0
    315 16 14  531   6 3s 3p2(4PE) 9f   5.05767E-01  3.07249E+00 35.0
    316 16 14  530  12 3s 3p2(4PE) 9g   5.06509E-01  3.07323E+00 35.0
