 4s2.4p5.(2Po<3/2>).10d   3/2[7/2]o    7   13.818090     ASD
 4s2.4p5.(2Po<3/2>).10d   3/2[5/2]o    5   13.820187     ASD
 4s2.4p5.(2Po<3/2>).10d   3/2[5/2]o    7   13.821022     ASD
 4s2.4p5.(2Po<3/2>).10d   3/2[3/2]o    3   13.82674      ASD
 4s2.4p5.(2Po<3/2>).9f    3/2[3/2]     3   13.83050      ASD
 4s2.4p5.(2Po<3/2>).9f    3/2[9/2]    11   13.830729     ASD
 4s2.4p5.(2Po<3/2>).9f    3/2[5/2]     7   13.831150     ASD
 4s2.4p5.(2Po<3/2>).10f   3/2[3/2]     3   13.86262      ASD
 4s2.4p5.(2Po<3/2>).10f   3/2[9/2]    11   13.86286      ASD
 4s2.4p5.(2Po<3/2>).10f   3/2[5/2]     7   13.86309      ASD
 4s2.4p5.(2Po<3/2>)       Limit            13.999600     ASD
 4s2.4p5.(2Po<1/2>)       Limit            14.665407     ASD
 4s.4p6.(2S<1/2>)         Limit            27.513921     ASD
 3d9.4s2.4p6.(2D<5/2>)    Limit            93.828        ASD
 3d9.4s2.4p6.(2D<3/2>)    Limit            95.044        ASD
