 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    291 14 14  520   5 3s 3p2(4PE) 7d   3.46187E-01  9.47480E-01 25.0
    292 14 14  301   6 3s 3p2(4PE) 8p   3.46190E-01  9.47483E-01  3.0
    293 14 14  511   5 3s 3p2(4PE) 8p   3.46216E-01  9.47509E-01 15.0
    294 14 14  501   6 3s 3p2(4PE) 8p   3.46506E-01  9.47799E-01  5.0
    295 14 14  510  10 3s 3p2(4PE) 7d   3.47335E-01  9.48628E-01 15.0
    296 14 14  521   9 3s 3p2(4PE) 7f   3.48569E-01  9.49862E-01 25.0
    297 14 14  541   5 3s 3p2(4PE) 7f   3.48626E-01  9.49919E-01 45.0
    298 14 14  530   8 3s 3p2(4PE) 7g   3.48727E-01  9.50020E-01 35.0
    299 14 14  550   3 3s 3p2(4PE) 7g   3.48747E-01  9.50040E-01 55.0
    300 14 14  541   6 3s 3p2(4PE) 7h   3.48761E-01  9.50054E-01 45.0
    301 14 14  550   4 3s 3p2(4PE) 7i   3.48785E-01  9.50078E-01 55.0
    302 14 14  551   2 3s 3p2(4PE) 7h   3.48820E-01  9.50113E-01 55.0
    303 14 14  540   3 3s 3p2(4PE) 7g   3.48866E-01  9.50159E-01 45.0
    304 14 14  531   4 3s 3p2(4PE) 7f   3.48909E-01  9.50202E-01 35.0
    305 14 14  510  11 3s 3p2(4PE) 9s   3.49437E-01  9.50730E-01 15.0
    306 14 14  530   9 3s 3p2(4PE) 8d   3.51465E-01  9.52758E-01 35.0
    307 14 14  521  10 3s 3p2(4PE) 9p   3.51604E-01  9.52897E-01 25.0
    308 14 14  301   7 3s 3p2(4PE) 9p   3.51840E-01  9.53133E-01  3.0
    309 14 14  520   6 3s 3p2(4PE) 8d   3.51847E-01  9.53140E-01 25.0
    310 14 14  511   6 3s 3p2(4PE) 9p   3.51873E-01  9.53166E-01 15.0
    311 14 14  501   7 3s 3p2(4PE) 9p   3.52065E-01  9.53358E-01  5.0
    312 14 14  510  12 3s 3p2(4PE) 8d   3.52597E-01  9.53890E-01 15.0
    313 14 14  521  11 3s 3p2(4PE) 8f   3.53421E-01  9.54714E-01 25.0
    314 14 14  541   7 3s 3p2(4PE) 8f   3.53459E-01  9.54752E-01 45.0
    315 14 14  530  10 3s 3p2(4PE) 8g   3.53529E-01  9.54822E-01 35.0
    316 14 14  550   5 3s 3p2(4PE) 8g   3.53541E-01  9.54834E-01 55.0
    317 14 14  541   8 3s 3p2(4PE) 8h   3.53550E-01  9.54843E-01 45.0
    318 14 14  550   6 3s 3p2(4PE) 8i   3.53567E-01  9.54860E-01 55.0
    319 14 14  551   3 3s 3p2(4PE) 8h   3.53594E-01  9.54887E-01 55.0
    320 14 14  540   4 3s 3p2(4PE) 8g   3.53622E-01  9.54915E-01 45.0
    321 14 14  531   5 3s 3p2(4PE) 8f   3.53649E-01  9.54942E-01 35.0
